id,basic_card_name_en,zh-CN
GROUPER_WORD_FISH_31,Grouper,石斑鱼
PERCH_WORD_FISH_31,Perch,鲈鱼
ITALY_WORD_MAP_32,Italy,意大利
INDIA_WORD_MAP_32,India,印度
AUSTRALIA_WORD_MAP_32,Australia,澳大利亚
FRANCE_WORD_MAP_32,France,法国
USA_WORD_MAP_32,USA,美国
UK_WORD_MAP_32,UK,英国
CYPRUS_WORD_MAP_32,Cyprus,塞浦路斯
JAPAN_WORD_MAP_32,Japan,日本
ARMOR_WORD_KNIGHT_34,Armor,铠甲
HELMET_WORD_KNIGHT_34,Helmet,头盔
SHIELD_WORD_KNIGHT_34,Shield,盾牌
WEAPON_WORD_KNIGHT_34,Weapon,武器
DESTRIER_WORD_KNIGHT_34,Destrier,战马
CHIVALRY_WORD_KNIGHT_34,Chivalry,骑士精神
SHOOTER_WORD_GAMER_36,Shooter,射击
ARCADE_WORD_GAMER_36,Arcade,街机
STRATEGY_WORD_GAMER_36,Strategy,策略
SCORE_WORD_GAMER_36,Score,得分
DRYER_WORD_DEVICE_38,Dryer,干衣机
PRINTER_WORD_DEVICE_38,Printer,打印机
FAX_WORD_DEVICE_38,Fax,传真机
HEATER_WORD_DEVICE_38,Heater,暖气
MANSION_WORD_HOUSE_40,Mansion,豪宅
PALACE_WORD_HOUSE_40,Palace,宫殿
VILLA_WORD_HOUSE_40,Villa,别墅
PILOT_WORD_JOBS_42,Pilot,飞行员
MAILMAN_WORD_JOBS_42,Mailman,邮递员
DOCTOR_WORD_JOBS_42,Doctor,医生
WELDER_WORD_JOBS_42,Welder,焊工
ENGINEER_WORD_JOBS_42,Engineer,工程师
PLUMBER_WORD_JOBS_42,Plumber,水管工
ACTOR_WORD_JOBS_42,Actor,演员
NURSE_WORD_JOBS_42,Nurse,护士
SANDALS_WORD_FOOTWEAR_46,Sandals,凉鞋
UGGS_WORD_FOOTWEAR_46,Uggs,雪地靴
SLIPPERS_WORD_FOOTWEAR_46,Slippers,拖鞋
CLOGS_WORD_FOOTWEAR_46,Clogs,木屐
LOAFERS_WORD_FOOTWEAR_46,Loafers,乐福鞋
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,运动鞋
CAR_WORD_DRIVING_49,Car,汽车
ROAD_WORD_DRIVING_49,Road,道路
SIGN_WORD_DRIVING_49,Sign,路标
TRAFFIC_WORD_DRIVING_49,Traffic,交通
VESPUCCI_WORD_EXPLORER_51,Vespucci,韦斯普奇
MAGELLAN_WORD_EXPLORER_51,Magellan,麦哲伦
COLUMBUS_WORD_EXPLORER_51,Columbus,哥伦布
KICK_WORD_MOVEMENT_52,Kick,踢
WALK_WORD_MOVEMENT_52,Walk,走
JUMP_WORD_MOVEMENT_52,Jump,跳
SOLID_WORD_PHASE_57,Solid,固体
LIQUID_WORD_PHASE_57,Liquid,液体
GAS_WORD_PHASE_57,Gas,气体
COMFY_WORD_COZY_58,Comfy,舒适
WARM_WORD_COZY_58,Warm,温暖
SNUG_WORD_COZY_58,Snug,惬意
ARIES_WORD_ZODIAC_59,Aries,白羊座
TAURUS_WORD_ZODIAC_59,Taurus,金牛座
GEMINI_WORD_ZODIAC_59,Gemini,双子座
LEO_WORD_ZODIAC_59,Leo,狮子座
VIRGO_WORD_ZODIAC_59,Virgo,处女座
LIBRA_WORD_ZODIAC_59,Libra,天秤座
SCORPIO_WORD_ZODIAC_59,Scorpio,天蝎座
PISCES_WORD_ZODIAC_59,Pisces,双鱼座
FRIGATE_WORD_SHIP_62,Frigate,护卫舰
CARAVEL_WORD_SHIP_62,Caravel,卡拉维尔
GALLEON_WORD_SHIP_62,Galleon,大帆船
BRIG_WORD_SHIP_62,Brig,双桅船
TANKER_WORD_SHIP_62,Tanker,油轮
TUGBOAT_WORD_SHIP_62,Tugboat,拖船
STAMP_WORD_MAILMAN_63,Stamp,邮票
ENVELOPE_WORD_MAILMAN_63,Envelope,信封
LETTER_WORD_MAILMAN_63,Letter,信件
MAIL_WORD_MAILMAN_63,Mail,邮件
SEAL_WORD_MAILMAN_63,Seal,封蜡
INK_WORD_MAILMAN_63,Ink,墨水
BUST_WORD_SCULPT_64,Bust,胸像
FIGURINE_WORD_SCULPT_64,Figurine,雕像
STATUE_WORD_SCULPT_64,Statue,雕塑
MONUMENT_WORD_SCULPT_64,Monument,纪念碑
ENGLISH_WORD_LANGUAGE_70,English,英语
ITALIAN_WORD_LANGUAGE_70,Italian,意大利语
HINDI_WORD_LANGUAGE_70,Hindi,印地语
JAPANESE_WORD_LANGUAGE_70,Japanese,日语
HEBREW_WORD_LANGUAGE_70,Hebrew,希伯来语
DANISH_WORD_LANGUAGE_70,Danish,丹麦语
LATIN_WORD_LANGUAGE_70,Latin,拉丁语
POLISH_WORD_LANGUAGE_70,Polish,波兰语
LENS_WORD_CAMERA_73,Lens,镜头
FLASH_WORD_CAMERA_73,Flash,闪光灯
ZOOM_WORD_CAMERA_73,Zoom,变焦
FILTER_WORD_CAMERA_73,Filter,滤镜
SHUTTER_WORD_CAMERA_73,Shutter,快门
EXPOSURE_WORD_CAMERA_73,Exposure,曝光
MIST_WORD_FOG_76,Mist,薄雾
HAZE_WORD_FOG_76,Haze,霾
SMOG_WORD_FOG_76,Smog,雾霾
VAPOR_WORD_FOG_76,Vapor,蒸汽
SLEET_WORD_SNOW_77,Sleet,雨夹雪
FLAKE_WORD_SNOW_77,Flake,雪花
ICEBERG_WORD_SNOW_77,Frost,霜
HEDGEHOG_WORD_SPIKY_78,Hedgehog,刺猬
CACTUS_WORD_SPIKY_78,Cactus,仙人掌
DURIAN_WORD_SPIKY_78,Durian,榴莲
DOVE_WORD_BIRDS_80,Dove,鸽子
EAGLE_WORD_BIRDS_80,Eagle,鹰
SWAN_WORD_BIRDS_80,Swan,天鹅
OWL_WORD_BIRDS_80,Owl,猫头鹰
HERON_WORD_BIRDS_80,Heron,苍鹭
ROBIN_WORD_BIRDS_80,Robin,知更鸟
FINCH_WORD_BIRDS_80,Finch,雀
VULTURE_WORD_BIRDS_80,Vulture,秃鹫
SARTRE_WORD_MINDS_82,Sartre,萨特
DANTE_WORD_MINDS_82,Dante,但丁
PLATO_WORD_MINDS_82,Plato,柏拉图
SOCRATES_WORD_MINDS_82,Socrates,苏格拉底
GALILEO_WORD_MINDS_82,Galileo,伽利略
KANT_WORD_MINDS_82,Kant,康德
PUCK_WORD_HOCKEY_86,Puck,冰球
PENALTY_WORD_HOCKEY_86,Penalty,罚球
GOAL_WORD_HOCKEY_86,Goal,进球
RINK_WORD_HOCKEY_86,Rink,冰场
COUPLE_WORD_DATE_87,Couple,情侣
TUXEDO_WORD_DATE_87,Wine,红酒
FLOWERS_WORD_DATE_87,Flowers,鲜花
TEETH_WORD_SAW_88,Teeth,锯齿
BLADE_WORD_SAW_88,Blade,刀片
NOTCH_WORD_SAW_88,Notch,切口
OLDMAN_WORD_ACTOR_89,Oldman,奥德曼
PITT_WORD_ACTOR_89,Pitt,皮特
EASTWOOD_WORD_ACTOR_89,Eastwood,伊斯特伍德
HANKS_WORD_ACTOR_89,Hanks,汉克斯
CROWE_WORD_ACTOR_89,Crowe,克劳
CRUISE_WORD_ACTOR_89,Cruise,克鲁斯
DICAPRIO_WORD_ACTOR_89,DiCaprio,迪卡普里奥
WAHLBERG_WORD_ACTOR_89,Wahlberg,沃尔伯格
MERCURY_WORD_PLANET_90,Mercury,水星
JUPITER_WORD_PLANET_90,Jupiter,木星
SATURN_WORD_PLANET_90,Saturn,土星
URANUS_WORD_PLANET_90,Uranus,天王星
NEPTUNE_WORD_PLANET_90,Neptune,海王星
MARS_WORD_PLANET_90,Mars,火星
EARTH_WORD_PLANET_90,Earth,地球
VENUS_WORD_PLANET_90,Venus,金星
BIOLOGY_WORD_LESSONS_94,Biology,生物
PHYSICS_WORD_LESSONS_94,Physics,物理
GEOMETRY_WORD_LESSONS_94,Geometry,几何
ALGEBRA_WORD_LESSONS_94,Algebra,代数
HISTORY_WORD_LESSONS_94,History,历史
CALCULUS_WORD_LESSONS_94,Calculus,微积分
TABLETS_WORD_PILLS_99,Tablets,药片
CAPSULES_WORD_PILLS_99,Capsules,胶囊
LOZENGES_WORD_PILLS_99,Lozenges,含片
CLOUDS_WORD_RAINY_100,Clouds,云
SHOWERS_WORD_RAINY_100,Showers,阵雨
PUDDLES_WORD_RAINY_100,Puddles,水洼
CIABATTA_WORD_BREADS_102,Ciabatta,恰巴塔
BAGUETTE_WORD_BREADS_102,Baguette,法棍
FOCACCIA_WORD_BREADS_102,Focaccia,佛卡夏
PITA_WORD_BREADS_102,Pita,皮塔饼
CHALLAH_WORD_BREADS_102,Challah,哈拉面包
TORTILLA_WORD_BREADS_102,Tortilla,玉米饼
BRIOCHE_WORD_BREADS_102,Brioche,布里欧
AREPA_WORD_BREADS_102,Arepa,玉米饼饼
GYRUS_WORD_BRAIN_106,Gyrus,脑回
CORTEX_WORD_BRAIN_106,Cortex,皮层
LOBE_WORD_BRAIN_106,Lobe,脑叶
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,氢
NITROGEN_WORD_ELEMENTS_107,Nitrogen,氮
SULFUR_WORD_ELEMENTS_107,Sulfur,硫
CARBON_WORD_ELEMENTS_107,Carbon,碳
SODIUM_WORD_ELEMENTS_107,Sodium,钠
SILICON_WORD_ELEMENTS_107,Silicon,硅
IODINE_WORD_ELEMENTS_107,Iodine,碘
OXYGEN_WORD_ELEMENTS_107,Oxygen,氧
BRIE_WORD_CHEESE_108,Brie,布里
FETA_WORD_CHEESE_108,Feta,菲达
GOUDA_WORD_CHEESE_108,Gouda,高达
CHEDDAR_WORD_CHEESE_108,Cheddar,切达
PARMESAN_WORD_CHEESE_108,Parmesan,帕玛森
RICOTTA_WORD_CHEESE_108,Ricotta,里科塔
EDAM_WORD_CHEESE_108,Edam,艾登
DORBLU_WORD_CHEESE_108,Swiss,瑞士奶酪
WORKOUT_WORD_FITNESS_110,Workout,锻炼
YOGA_WORD_FITNESS_110,Yoga,瑜伽
PILATES_WORD_FITNESS_110,Pilates,普拉提
JOGGING_WORD_FITNESS_110,Jogging,慢跑
GYM_WORD_FITNESS_110,Gym,健身房
CARDIO_WORD_FITNESS_110,Cardio,有氧运动
BICEPS_WORD_MUSCLES_112,Biceps,肱二头肌
DELTOIDS_WORD_MUSCLES_112,Deltoids,三角肌
ABS_WORD_MUSCLES_112,Abs,腹肌
TRICEPS_WORD_MUSCLES_112,Triceps,肱三头肌
SCARAB_WORD_EGYPT_114,Scarab,圣甲虫
PHARAOH_WORD_EGYPT_114,Pharaoh,法老
PAPYRUS_WORD_EGYPT_114,Papyrus,纸莎草
PYRAMID_WORD_EGYPT_114,Pyramid,金字塔
MULBERRY_WORD_BERRY_116,Mulberry,桑葚
BILBERRY_WORD_BERRY_116,Bilberry,越橘
BARBERRY_WORD_BERRY_116,Barberry,小檗
ATHENS_WORD_CAPITALS_119,Athens,雅典
PRAGUE_WORD_CAPITALS_119,Prague,布拉格
MADRID_WORD_CAPITALS_119,Madrid,马德里
RIYADH_WORD_CAPITALS_119,Riyadh,利雅得
OTTAWA_WORD_CAPITALS_119,Ottawa,渥太华
ROME_WORD_CAPITALS_119,Rome,罗马
OSLO_WORD_CAPITALS_119,Oslo,奥斯陆
CAIRO_WORD_CAPITALS_119,Cairo,开罗
POWDER_WORD_MAKEUP_120,Powder,粉饼
SPONGE_WORD_MAKEUP_120,Sponge,海绵
PALETTE_WORD_MAKEUP_120,Palette,调色盘
SERUM_WORD_MAKEUP_120,Serum,精华液
PEEL_WORD_MAKEUP_120,Peel,去角质
BLUSH_WORD_MAKEUP_120,Blush,腮红
SAVATE_WORD_COMBAT_121,Savate,法式踢腿
JUDO_WORD_COMBAT_121,Judo,柔道
KARATE_WORD_COMBAT_121,Karate,空手道
KUNG_FU_WORD_COMBAT_121,Kung fu,功夫
SUMO_WORD_COMBAT_121,Sumo,相扑
SILAT_WORD_COMBAT_121,Silat,席拉
CHORDS_WORD_GUITAR_122,Chords,和弦
PICKUPS_WORD_GUITAR_122,Pickups,拾音器
STRINGS_WORD_GUITAR_122,Strings,琴弦
RIFFS_WORD_GUITAR_122,Riffs,即兴乐段
POINTE_WORD_BALLET_125,Pointe,足尖
TUTU_WORD_BALLET_125,Tutu,芭蕾裙
BARRE_WORD_BALLET_125,Barre,把杆
ALLIANCE_WORD_UNITE_126,Alliance,联盟
LEAGUE_WORD_UNITE_126,League,联赛
UNION_WORD_UNITE_126,Union,联合
JEWELRY_WORD_LUXURY_133,Jewelry,珠宝
WATCH_WORD_LUXURY_133,Watch,手表
CAVIAR_WORD_LUXURY_133,Caviar,鱼子酱
YACHT_WORD_LUXURY_133,Yacht,游艇
SAVANNA_WORD_BIOMES_135,Savanna,热带草原
TUNDRA_WORD_BIOMES_135,Tundra,冻原
TAIGA_WORD_BIOMES_135,Taiga,针叶林
SRIRACHA_WORD_SPICY_136,Sriracha,是拉差
WASABI_WORD_SPICY_136,Wasabi,芥末
HABANERO_WORD_SPICY_136,Habanero,哈瓦那辣椒
COCKPIT_WORD_PLANE_139,Cockpit,驾驶舱
SEATBELT_WORD_PLANE_139,Seatbelt,安全带
WINGS_WORD_PLANE_139,Wings,机翼
ENGINE_WORD_PLANE_139,Engine,引擎
RUDDER_WORD_PLANE_139,Rudder,方向舵
FUSELAGE_WORD_PLANE_139,Fuselage,机身
AILERON_WORD_PLANE_139,Aileron,副翼
FLY_WORD_PLANE_139,Fly,飞行
BEAVER_WORD_RODENTS_141,Beaver,河狸
MARMOT_WORD_RODENTS_141,Marmot,旱獭
NUTRIA_WORD_RODENTS_141,Nutria,海狸鼠
SQUIRREL_WORD_RODENTS_141,Squirrel,松鼠
CAPYBARA_WORD_RODENTS_141,Capybara,水豚
RAT_WORD_RODENTS_141,Rat,老鼠
SOLAR_WORD_ENERGY_145,Solar,太阳能
NUCLEAR_WORD_ENERGY_145,Nuclear,核能
KINETIC_WORD_ENERGY_145,Kinetic,动能
THERMAL_WORD_ENERGY_145,Thermal,热能
ESSAY_WORD_ARTICLES_147,Essay,散文
REVIEW_WORD_ARTICLES_147,Review,评论
OPINION_WORD_ARTICLES_147,Opinion,观点
TSUNAMI_WORD_DISASTER_148,Tsunami,海啸
TORNADO_WORD_DISASTER_148,Tornado,龙卷风
FLOOD_WORD_DISASTER_148,Flood,洪水
GORILLA_WORD_PRIMATES_149,Gorilla,大猩猩
GIBBON_WORD_PRIMATES_149,Gibbon,长臂猿
BABOON_WORD_PRIMATES_149,Baboon,狒狒
LEMUR_WORD_PRIMATES_149,Lemur,狐猴
MACAQUE_WORD_PRIMATES_149,Macaque,猕猴
SIMIAN_WORD_PRIMATES_149,Simian,猿猴
MANDRILL_WORD_PRIMATES_149,Mandrill,山魈
TARSIER_WORD_PRIMATES_149,Tarsier,眼镜猴
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bug
LYRICS_WORD_RAP_151,Lyrics,歌词
VERSE_WORD_RAP_151,Verse,诗句
RHYME_WORD_RAP_151,Rhyme,韵脚
PUNCH_WORD_RAP_151,Punch,点睛句
NIAGARA_WORD_WATER_152,Niagara,尼亚加拉
VICTORIA_WORD_WATER_152,Victoria,维多利亚
YOSEMITE_WORD_WATER_152,Yosemite,优胜美地
HAVASU_WORD_WATER_152,Havasu,哈瓦苏
YO_YO_WORD_TOYS_154,Yo-yo,溜溜球
SPINNER_WORD_TOYS_154,Spinner,陀螺
DOLL_WORD_TOYS_154,Doll,玩偶
SERGEANT_WORD_ARMY_156,Sergeant,中士
MAJOR_WORD_ARMY_156,Major,少校
GENERAL_WORD_ARMY_156,General,将军
COLONEL_WORD_ARMY_156,Colonel,上校
PRIVATE_WORD_ARMY_156,Private,列兵
CORPORAL_WORD_ARMY_156,Corporal,下士
CAPTAIN_WORD_ARMY_156,Captain,上尉
RANK_WORD_ARMY_156,Rank,军衔
ZEN_WORD_MEDITATE_160,Zen,禅
BREATH_WORD_MEDITATE_160,Breath,呼吸
PEACE_WORD_MEDITATE_160,Peace,平静
MANTRA_WORD_MEDITATE_160,Mantra,咒语
FAMOUS_WORD_FAME_161,Famous,著名
ICONIC_WORD_FAME_161,Iconic,标志性
POPULAR_WORD_FAME_161,Popular,流行
RENOWN_WORD_FAME_161,Renown,声望
SYNTAX_WORD_LINGUIST_162,Syntax,语法
POLYGLOT_WORD_LINGUIST_162,Polyglot,通晓多语者
GRAMMAR_WORD_LINGUIST_162,Grammar,文法
SCHOLAR_WORD_LINGUIST_162,Scholar,学者
EASTER_WORD_HOLIDAY_163,Easter,复活节
NEW_YEAR_WORD_HOLIDAY_163,New Year,新年
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,国旗日
DUMBBELL_WORD_GYM_164,Dumbbell,哑铃
BARBELL_WORD_GYM_164,Barbell,杠铃
AIR_BIKE_WORD_GYM_164,Air bike,风阻单车
PERICLES_WORD_WILLIAM_165,Pericles,伯利克里
MACBETH_WORD_WILLIAM_165,Macbeth,麦克白
HAMLET_WORD_WILLIAM_165,Hamlet,哈姆雷特
OTHELLO_WORD_WILLIAM_165,Othello,奥赛罗
JULIET_WORD_WILLIAM_165,Juliet,朱丽叶
ROMEO_WORD_WILLIAM_165,Romeo,罗密欧
TEMPEST_WORD_WILLIAM_165,Tempest,暴风雨
HENRY_V_WORD_WILLIAM_165,Henry V,亨利五世
WOLF_WORD_CANINES_168,Wolf,狼
COYOTE_WORD_CANINES_168,Coyote,郊狼
DINGO_WORD_CANINES_168,Dingo,澳洲野犬
JACKAL_WORD_CANINES_168,Jackal,豺
FOX_WORD_CANINES_168,Fox,狐狸
DHOLE_WORD_CANINES_168,Dhole,豺犬
HARVARD_WORD_STUDIES_169,Harvard,哈佛
STANFORD_WORD_STUDIES_169,Stanford,斯坦福
OXFORD_WORD_STUDIES_169,Oxford,牛津
YALE_WORD_STUDIES_169,Yale,耶鲁
SORBONNE_WORD_STUDIES_169,Sorbonne,索邦
MIT_WORD_STUDIES_169,MIT,麻省理工
LEMON_WORD_CITRUS_173,Lemon,柠檬
LIME_WORD_CITRUS_173,Lime,青柠
POMELO_WORD_CITRUS_173,Pomelo,柚子
GLIDER_WORD_AIRCRAFT_174,Glider,滑翔机
JETLINER_WORD_AIRCRAFT_174,Jetliner,喷气客机
AIRPLANE_WORD_AIRCRAFT_174,Airplane,飞机
MERLOT_WORD_GRAPE_177,Merlot,梅洛
RIESLING_WORD_GRAPE_177,Riesling,雷司令
SHIRAZ_WORD_GRAPE_177,Shiraz,设拉子
GRENACHE_WORD_GRAPE_177,Grenache,歌海娜
MUSCAT_WORD_GRAPE_177,Muscat,麝香
MALBEC_WORD_GRAPE_177,Malbec,马尔贝克
AMANITA_WORD_MUSHROOM_178,Amanita,鹅膏菌
PORCINI_WORD_MUSHROOM_178,Porcini,牛肝菌
RUSSULA_WORD_MUSHROOM_178,Russula,红菇
TRUFFLE_WORD_MUSHROOM_178,Truffle,松露
ENOKI_WORD_MUSHROOM_178,Enoki,金针菇
SHIITAKE_WORD_MUSHROOM_178,Shiitake,香菇
WALRUS_WORD_ARCTIC_180,Walrus,海象
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,北极熊
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,雪鸮
REINDEER_WORD_ARCTIC_180,Reindeer,驯鹿
PIT_STOP_WORD_RACING_182,Pit stop,进站
FINISH_WORD_RACING_182,Finish,终点
SPEEDWAY_WORD_RACING_182,Speedway,赛道
ASSIST_WORD_HELP_183,Assist,协助
SUPPORT_WORD_HELP_183,Support,支持
DONATE_WORD_HELP_183,Donate,捐赠
OPAL_WORD_GEMSTONE_186,Opal,蛋白石
RUBY_WORD_GEMSTONE_186,Ruby,红宝石
TOPAZ_WORD_GEMSTONE_186,Topaz,黄玉
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,蓝宝石
GARNET_WORD_GEMSTONE_186,Garnet,石榴石
DIAMOND_WORD_GEMSTONE_186,Diamond,钻石
ONYX_WORD_GEMSTONE_186,Onyx,缟玛瑙
AGATE_WORD_GEMSTONE_186,Agate,玛瑙
ORION_WORD_PATTERN_188,Orion,猎户座
PERSEUS_WORD_PATTERN_188,Perseus,英仙座
DRACO_WORD_PATTERN_188,Draco,天龙座
SCORPIUS_WORD_PATTERN_188,Scorpius,天蝎座
CYGNUS_WORD_PATTERN_188,Cygnus,天鹅座
SERPENS_WORD_PATTERN_188,Serpens,巨蛇座
GASOLINE_WORD_FUELS_190,Gasoline,汽油
DIESEL_WORD_FUELS_190,Diesel,柴油
COAL_WORD_FUELS_190,Coal,煤炭
PROPANE_WORD_FUELS_190,Propane,丙烷
KEROSENE_WORD_FUELS_190,Kerosene,煤油
VOTER_WORD_ELECT_193,Voter,选民
BALLOT_WORD_ELECT_193,Ballot,选票
CAMPAIGN_WORD_ELECT_193,Campaign,竞选
TURNOUT_WORD_ELECT_193,Turnout,投票率
KING_WORD_CROWN_194,King,国王
EMPEROR_WORD_CROWN_194,Emperor,皇帝
MAHARAJA_WORD_CROWN_194,Maharaja,大君
KENNEDY_WORD_LEADER_196,Washington,华盛顿
CLINTON_WORD_LEADER_196,Jefferson,杰斐逊
LINCOLN_WORD_LEADER_196,Lincoln,林肯
REAGAN_WORD_LEADER_196,Roosevelt,罗斯福
BUSH_WORD_LEADER_196,Wilson,威尔逊
OBAMA_WORD_LEADER_196,Jackson,杰克逊
ADAMS_WORD_LEADER_196,Adams,亚当斯
BIDEN_WORD_LEADER_196,Madison,麦迪逊
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,软面包
SAUSAGE_WORD_HOT_DOG_201,Sausage,香肠
KETCHUP_WORD_HOT_DOG_201,Ketchup,番茄酱
DECODE_WORD_CIPHER_208,Decode,解码
ENCODE_WORD_CIPHER_208,Encode,编码
KEYWORD_WORD_CIPHER_208,Keyword,密钥
PASSWORD_WORD_CIPHER_208,Password,密码
HARMONY_WORD_SYMPHONY_210,Harmony,和声
OVERTURE_WORD_SYMPHONY_210,Overture,序曲
MELODY_WORD_SYMPHONY_210,Melody,旋律
PHOTO_WORD_ARTWORKS_211,Photo,摄影
DRAWING_WORD_ARTWORKS_211,Drawing,素描
PAINTING_WORD_ARTWORKS_211,Painting,绘画
HAMMER_WORD_AUCTION_215,Hammer,槌
LOT_WORD_AUCTION_215,Lot,拍品
BID_WORD_AUCTION_215,Bid,出价
PRICE_WORD_AUCTION_215,Price,价格
CATALOG_WORD_AUCTION_215,Catalog,目录
BIDDER_WORD_AUCTION_215,Bidder,竞拍者
EXCELSA_WORD_BEANS_219,Excelsa,埃塞尔萨
ROBUSTA_WORD_BEANS_219,Robusta,罗布斯塔
LIBERICA_WORD_BEANS_219,Liberica,利比里卡
ARABICA_WORD_BEANS_219,Arabica,阿拉比卡
TENT_WORD_CAMPING_221,Tent,帐篷
CAMPFIRE_WORD_CAMPING_221,Campfire,篝火
HAMMOCK_WORD_CAMPING_221,Hammock,吊床
ORGAN_WORD_PLAY_223,Organ,管风琴
VIOLIN_WORD_PLAY_223,Violin,小提琴
UKULELE_WORD_PLAY_223,Ukulele,尤克里里
DRUM_WORD_PLAY_223,Drum,鼓
PIANO_WORD_PLAY_223,Piano,钢琴
FLUTE_WORD_PLAY_223,Flute,长笛
