id,basic_card_name_en,zh-TW
ENGLISH_WORD_LANGUAGE_70,English,英語
ITALIAN_WORD_LANGUAGE_70,Italian,義大利語
HINDI_WORD_LANGUAGE_70,Hindi,印地語
JAPANESE_WORD_LANGUAGE_70,Japanese,日語
HEBREW_WORD_LANGUAGE_70,Hebrew,希伯來語
DANISH_WORD_LANGUAGE_70,Danish,丹麥語
LATIN_WORD_LANGUAGE_70,Latin,拉丁語
POLISH_WORD_LANGUAGE_70,Polish,波蘭語
LENS_WORD_CAMERA_73,Lens,鏡頭
FLASH_WORD_CAMERA_73,Flash,閃光燈
ZOOM_WORD_CAMERA_73,Zoom,變焦
FILTER_WORD_CAMERA_73,Filter,濾鏡
SHUTTER_WORD_CAMERA_73,Shutter,快門
EXPOSURE_WORD_CAMERA_73,Exposure,曝光
MIST_WORD_FOG_76,Mist,薄霧
HAZE_WORD_FOG_76,Haze,霾
SMOG_WORD_FOG_76,Smog,霧霾
VAPOR_WORD_FOG_76,Vapor,蒸氣
SLEET_WORD_SNOW_77,Sleet,雨夾雪
FLAKE_WORD_SNOW_77,Flake,雪花
ICEBERG_WORD_SNOW_77,Frost,霜
HEDGEHOG_WORD_SPIKY_78,Hedgehog,刺蝟
CACTUS_WORD_SPIKY_78,Cactus,仙人掌
DURIAN_WORD_SPIKY_78,Durian,榴槤
DOVE_WORD_BIRDS_80,Dove,鴿子
EAGLE_WORD_BIRDS_80,Eagle,鷹
SWAN_WORD_BIRDS_80,Swan,天鵝
OWL_WORD_BIRDS_80,Owl,貓頭鷹
HERON_WORD_BIRDS_80,Heron,蒼鷺
ROBIN_WORD_BIRDS_80,Robin,知更鳥
FINCH_WORD_BIRDS_80,Finch,雀
VULTURE_WORD_BIRDS_80,Vulture,禿鷲
SARTRE_WORD_MINDS_82,Sartre,沙特
DANTE_WORD_MINDS_82,Dante,但丁
PLATO_WORD_MINDS_82,Plato,柏拉圖
SOCRATES_WORD_MINDS_82,Socrates,蘇格拉底
GALILEO_WORD_MINDS_82,Galileo,伽利略
KANT_WORD_MINDS_82,Kant,康德
PUCK_WORD_HOCKEY_86,Puck,冰球
PENALTY_WORD_HOCKEY_86,Penalty,罰球
GOAL_WORD_HOCKEY_86,Goal,進球
RINK_WORD_HOCKEY_86,Rink,冰場
COUPLE_WORD_DATE_87,Couple,情侶
TUXEDO_WORD_DATE_87,Wine,紅酒
FLOWERS_WORD_DATE_87,Flowers,鮮花
TEETH_WORD_SAW_88,Teeth,鋸齒
BLADE_WORD_SAW_88,Blade,刀片
NOTCH_WORD_SAW_88,Notch,切口
OLDMAN_WORD_ACTOR_89,Oldman,乏德曼
PITT_WORD_ACTOR_89,Pitt,乂特
EASTWOOD_WORD_ACTOR_89,Eastwood,乙斯乂伍德
HANKS_WORD_ACTOR_89,Hanks,漢克斯
CROWE_WORD_ACTOR_89,Crowe,乕勞
CRUISE_WORD_ACTOR_89,Cruise,乕魯斯
DICAPRIO_WORD_ACTOR_89,DiCaprio,乃卡乂里歐
WAHLBERG_WORD_ACTOR_89,Wahlberg,乆爾乘格
MERCURY_WORD_PLANET_90,Mercury,水星
JUPITER_WORD_PLANET_90,Jupiter,木星
SATURN_WORD_PLANET_90,Saturn,土星
URANUS_WORD_PLANET_90,Uranus,天王星
NEPTUNE_WORD_PLANET_90,Neptune,海王星
MARS_WORD_PLANET_90,Mars,火星
EARTH_WORD_PLANET_90,Earth,地球
VENUS_WORD_PLANET_90,Venus,金星
BIOLOGY_WORD_LESSONS_94,Biology,生物
PHYSICS_WORD_LESSONS_94,Physics,物理
GEOMETRY_WORD_LESSONS_94,Geometry,幾何
ALGEBRA_WORD_LESSONS_94,Algebra,代數
HISTORY_WORD_LESSONS_94,History,歷史
CALCULUS_WORD_LESSONS_94,Calculus,微積分
TABLETS_WORD_PILLS_99,Tablets,藥片
CAPSULES_WORD_PILLS_99,Capsules,膠囊
LOZENGES_WORD_PILLS_99,Lozenges,含片
CLOUDS_WORD_RAINY_100,Clouds,雲
SHOWERS_WORD_RAINY_100,Showers,陣雨
PUDDLES_WORD_RAINY_100,Puddles,水窪
CIABATTA_WORD_BREADS_102,Ciabatta,巧巴達
BAGUETTE_WORD_BREADS_102,Baguette,法棍
FOCACCIA_WORD_BREADS_102,Focaccia,佛卡夏
PITA_WORD_BREADS_102,Pita,口袋餅
CHALLAH_WORD_BREADS_102,Challah,哈拉麵包
TORTILLA_WORD_BREADS_102,Tortilla,玉米餅
BRIOCHE_WORD_BREADS_102,Brioche,布里歐
AREPA_WORD_BREADS_102,Arepa,玉米餅餅
GYRUS_WORD_BRAIN_106,Gyrus,腦回
CORTEX_WORD_BRAIN_106,Cortex,皮層
LOBE_WORD_BRAIN_106,Lobe,腦葉
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,氫
NITROGEN_WORD_ELEMENTS_107,Nitrogen,氮
SULFUR_WORD_ELEMENTS_107,Sulfur,硫
CARBON_WORD_ELEMENTS_107,Carbon,碳
SODIUM_WORD_ELEMENTS_107,Sodium,鈉
SILICON_WORD_ELEMENTS_107,Silicon,矽
IODINE_WORD_ELEMENTS_107,Iodine,碘
OXYGEN_WORD_ELEMENTS_107,Oxygen,氧
BRIE_WORD_CHEESE_108,Brie,布利
FETA_WORD_CHEESE_108,Feta,菲達
GOUDA_WORD_CHEESE_108,Gouda,高達
CHEDDAR_WORD_CHEESE_108,Cheddar,切達
PARMESAN_WORD_CHEESE_108,Parmesan,帕瑪森
RICOTTA_WORD_CHEESE_108,Ricotta,瑞可達
EDAM_WORD_CHEESE_108,Edam,艾登
DORBLU_WORD_CHEESE_108,Swiss,瑞士起司
WORKOUT_WORD_FITNESS_110,Workout,鍛鍊
YOGA_WORD_FITNESS_110,Yoga,瑜伽
PILATES_WORD_FITNESS_110,Pilates,普拉提
JOGGING_WORD_FITNESS_110,Jogging,慢跑
GYM_WORD_FITNESS_110,Gym,健身房
CARDIO_WORD_FITNESS_110,Cardio,有氧運動
BICEPS_WORD_MUSCLES_112,Biceps,肱二頭肌
DELTOIDS_WORD_MUSCLES_112,Deltoids,三角肌
ABS_WORD_MUSCLES_112,Abs,腹肌
TRICEPS_WORD_MUSCLES_112,Triceps,肱三頭肌
SCARAB_WORD_EGYPT_114,Scarab,聖甲蟲
PHARAOH_WORD_EGYPT_114,Pharaoh,法老
PAPYRUS_WORD_EGYPT_114,Papyrus,莎草紙
PYRAMID_WORD_EGYPT_114,Pyramid,金字塔
MULBERRY_WORD_BERRY_116,Mulberry,桑葚
BILBERRY_WORD_BERRY_116,Bilberry,越橘
BARBERRY_WORD_BERRY_116,Barberry,小檗
ATHENS_WORD_CAPITALS_119,Athens,雅典
PRAGUE_WORD_CAPITALS_119,Prague,布拉格
MADRID_WORD_CAPITALS_119,Madrid,馬德里
RIYADH_WORD_CAPITALS_119,Riyadh,利雅德
OTTAWA_WORD_CAPITALS_119,Ottawa,渥太華
ROME_WORD_CAPITALS_119,Rome,羅馬
OSLO_WORD_CAPITALS_119,Oslo,奧斯陸
CAIRO_WORD_CAPITALS_119,Cairo,開羅
POWDER_WORD_MAKEUP_120,Powder,蜜粉
SPONGE_WORD_MAKEUP_120,Sponge,海綿
PALETTE_WORD_MAKEUP_120,Palette,調色盤
SERUM_WORD_MAKEUP_120,Serum,精華液
PEEL_WORD_MAKEUP_120,Peel,去角質
BLUSH_WORD_MAKEUP_120,Blush,腮紅
SAVATE_WORD_COMBAT_121,Savate,法式踢腿
JUDO_WORD_COMBAT_121,Judo,柔道
KARATE_WORD_COMBAT_121,Karate,空手道
KUNG_FU_WORD_COMBAT_121,Kung fu,功夫
SUMO_WORD_COMBAT_121,Sumo,相撲
SILAT_WORD_COMBAT_121,Silat,席拉
CHORDS_WORD_GUITAR_122,Chords,和弦
PICKUPS_WORD_GUITAR_122,Pickups,拾音器
STRINGS_WORD_GUITAR_122,Strings,琴弦
RIFFS_WORD_GUITAR_122,Riffs,即興樂段
POINTE_WORD_BALLET_125,Pointe,足尖
TUTU_WORD_BALLET_125,Tutu,芭蕾裙
BARRE_WORD_BALLET_125,Barre,把桿
ALLIANCE_WORD_UNITE_126,Alliance,聯盟
LEAGUE_WORD_UNITE_126,League,聯賽
UNION_WORD_UNITE_126,Union,聯合
JEWELRY_WORD_LUXURY_133,Jewelry,珠寶
WATCH_WORD_LUXURY_133,Watch,手錶
CAVIAR_WORD_LUXURY_133,Caviar,魚子醬
YACHT_WORD_LUXURY_133,Yacht,遊艇
SAVANNA_WORD_BIOMES_135,Savanna,熱帶草原
TUNDRA_WORD_BIOMES_135,Tundra,凍原
TAIGA_WORD_BIOMES_135,Taiga,針葉林
SRIRACHA_WORD_SPICY_136,Sriracha,是拉差
WASABI_WORD_SPICY_136,Wasabi,芥末
HABANERO_WORD_SPICY_136,Habanero,哈瓦那辣椒
COCKPIT_WORD_PLANE_139,Cockpit,駕駛艙
SEATBELT_WORD_PLANE_139,Seatbelt,安全帶
WINGS_WORD_PLANE_139,Wings,機翼
ENGINE_WORD_PLANE_139,Engine,引擎
RUDDER_WORD_PLANE_139,Rudder,方向舵
FUSELAGE_WORD_PLANE_139,Fuselage,機身
AILERON_WORD_PLANE_139,Aileron,副翼
FLY_WORD_PLANE_139,Fly,飛行
BEAVER_WORD_RODENTS_141,Beaver,河狸
MARMOT_WORD_RODENTS_141,Marmot,旱獺
NUTRIA_WORD_RODENTS_141,Nutria,海狸鼠
SQUIRREL_WORD_RODENTS_141,Squirrel,松鼠
CAPYBARA_WORD_RODENTS_141,Capybara,水豚
RAT_WORD_RODENTS_141,Rat,老鼠
SOLAR_WORD_ENERGY_145,Solar,太陽能
NUCLEAR_WORD_ENERGY_145,Nuclear,核能
KINETIC_WORD_ENERGY_145,Kinetic,動能
THERMAL_WORD_ENERGY_145,Thermal,熱能
ESSAY_WORD_ARTICLES_147,Essay,散文
REVIEW_WORD_ARTICLES_147,Review,評論
OPINION_WORD_ARTICLES_147,Opinion,觀點
TSUNAMI_WORD_DISASTER_148,Tsunami,海嘯
TORNADO_WORD_DISASTER_148,Tornado,龍捲風
FLOOD_WORD_DISASTER_148,Flood,洪水
GORILLA_WORD_PRIMATES_149,Gorilla,大猩猩
GIBBON_WORD_PRIMATES_149,Gibbon,長臂猿
BABOON_WORD_PRIMATES_149,Baboon,狒狒
LEMUR_WORD_PRIMATES_149,Lemur,狐猴
MACAQUE_WORD_PRIMATES_149,Macaque,獼猴
SIMIAN_WORD_PRIMATES_149,Simian,猿猴
MANDRILL_WORD_PRIMATES_149,Mandrill,山魈
TARSIER_WORD_PRIMATES_149,Tarsier,眼鏡猴
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bug
LYRICS_WORD_RAP_151,Lyrics,歌詞
VERSE_WORD_RAP_151,Verse,詩句
RHYME_WORD_RAP_151,Rhyme,韻腳
PUNCH_WORD_RAP_151,Punch,點睛句
NIAGARA_WORD_WATER_152,Niagara,尼加拉
VICTORIA_WORD_WATER_152,Victoria,維多利亞
YOSEMITE_WORD_WATER_152,Yosemite,優勝美地
HAVASU_WORD_WATER_152,Havasu,哈瓦蘇
YO_YO_WORD_TOYS_154,Yo-yo,溜溜球
SPINNER_WORD_TOYS_154,Spinner,陀螺
DOLL_WORD_TOYS_154,Doll,玩偶
SERGEANT_WORD_ARMY_156,Sergeant,中士
MAJOR_WORD_ARMY_156,Major,少校
GENERAL_WORD_ARMY_156,General,將軍
COLONEL_WORD_ARMY_156,Colonel,上校
PRIVATE_WORD_ARMY_156,Private,列兵
CORPORAL_WORD_ARMY_156,Corporal,下士
CAPTAIN_WORD_ARMY_156,Captain,上尉
RANK_WORD_ARMY_156,Rank,軍階
ZEN_WORD_MEDITATE_160,Zen,禪
BREATH_WORD_MEDITATE_160,Breath,呼吸
PEACE_WORD_MEDITATE_160,Peace,平靜
MANTRA_WORD_MEDITATE_160,Mantra,咒語
FAMOUS_WORD_FAME_161,Famous,著名
ICONIC_WORD_FAME_161,Iconic,標誌性
POPULAR_WORD_FAME_161,Popular,流行
RENOWN_WORD_FAME_161,Renown,聲望
SYNTAX_WORD_LINGUIST_162,Syntax,語法
POLYGLOT_WORD_LINGUIST_162,Polyglot,通曉多語者
GRAMMAR_WORD_LINGUIST_162,Grammar,文法
SCHOLAR_WORD_LINGUIST_162,Scholar,學者
EASTER_WORD_HOLIDAY_163,Easter,復活節
NEW_YEAR_WORD_HOLIDAY_163,New Year,新年
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,國旗日
DUMBBELL_WORD_GYM_164,Dumbbell,啞鈴
BARBELL_WORD_GYM_164,Barbell,槓鈴
AIR_BIKE_WORD_GYM_164,Air bike,風阻單車
PERICLES_WORD_WILLIAM_165,Pericles,伯利克里
MACBETH_WORD_WILLIAM_165,Macbeth,馬克白
HAMLET_WORD_WILLIAM_165,Hamlet,哈姆雷特
OTHELLO_WORD_WILLIAM_165,Othello,奧賽羅
JULIET_WORD_WILLIAM_165,Juliet,乘麗葉
ROMEO_WORD_WILLIAM_165,Romeo,羅密歐
TEMPEST_WORD_WILLIAM_165,Tempest,暴風雨
HENRY_V_WORD_WILLIAM_165,Henry V,亨利五世
WOLF_WORD_CANINES_168,Wolf,狼
COYOTE_WORD_CANINES_168,Coyote,郊狼
DINGO_WORD_CANINES_168,Dingo,澳洲野犬
JACKAL_WORD_CANINES_168,Jackal,豺
FOX_WORD_CANINES_168,Fox,狐狸
DHOLE_WORD_CANINES_168,Dhole,豺犬
HARVARD_WORD_STUDIES_169,Harvard,哈佛
STANFORD_WORD_STUDIES_169,Stanford,史丹佛
OXFORD_WORD_STUDIES_169,Oxford,牛津
YALE_WORD_STUDIES_169,Yale,耶魯
SORBONNE_WORD_STUDIES_169,Sorbonne,索邦
MIT_WORD_STUDIES_169,MIT,麻省理工
LEMON_WORD_CITRUS_173,Lemon,檸檬
LIME_WORD_CITRUS_173,Lime,萊姆
POMELO_WORD_CITRUS_173,Pomelo,柚子
GLIDER_WORD_AIRCRAFT_174,Glider,滑翔機
JETLINER_WORD_AIRCRAFT_174,Jetliner,噴射客機
AIRPLANE_WORD_AIRCRAFT_174,Airplane,飛機
MERLOT_WORD_GRAPE_177,Merlot,梅洛
RIESLING_WORD_GRAPE_177,Riesling,雷司令
SHIRAZ_WORD_GRAPE_177,Shiraz,設拉子
GRENACHE_WORD_GRAPE_177,Grenache,歌海娜
MUSCAT_WORD_GRAPE_177,Muscat,麝香
MALBEC_WORD_GRAPE_177,Malbec,馬爾貝克
AMANITA_WORD_MUSHROOM_178,Amanita,鵝膏菌
PORCINI_WORD_MUSHROOM_178,Porcini,牛肝菌
RUSSULA_WORD_MUSHROOM_178,Russula,紅菇
TRUFFLE_WORD_MUSHROOM_178,Truffle,松露
ENOKI_WORD_MUSHROOM_178,Enoki,金針菇
SHIITAKE_WORD_MUSHROOM_178,Shiitake,香菇
WALRUS_WORD_ARCTIC_180,Walrus,海象
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,北極熊
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,雪鴞
REINDEER_WORD_ARCTIC_180,Reindeer,馴鹿
PIT_STOP_WORD_RACING_182,Pit stop,進站
FINISH_WORD_RACING_182,Finish,終點
SPEEDWAY_WORD_RACING_182,Speedway,賽道
ASSIST_WORD_HELP_183,Assist,協助
SUPPORT_WORD_HELP_183,Support,支持
DONATE_WORD_HELP_183,Donate,捐贈
OPAL_WORD_GEMSTONE_186,Opal,蛋白石
RUBY_WORD_GEMSTONE_186,Ruby,紅寶石
TOPAZ_WORD_GEMSTONE_186,Topaz,黃玉
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,藍寶石
GARNET_WORD_GEMSTONE_186,Garnet,石榴石
DIAMOND_WORD_GEMSTONE_186,Diamond,鑽石
ONYX_WORD_GEMSTONE_186,Onyx,縞瑪瑙
AGATE_WORD_GEMSTONE_186,Agate,瑪瑙
ORION_WORD_PATTERN_188,Orion,獵戶座
PERSEUS_WORD_PATTERN_188,Perseus,英仙座
DRACO_WORD_PATTERN_188,Draco,天龍座
SCORPIUS_WORD_PATTERN_188,Scorpius,天蠍座
CYGNUS_WORD_PATTERN_188,Cygnus,天鵝座
SERPENS_WORD_PATTERN_188,Serpens,巨蛇座
GASOLINE_WORD_FUELS_190,Gasoline,汽油
DIESEL_WORD_FUELS_190,Diesel,柴油
COAL_WORD_FUELS_190,Coal,煤炭
PROPANE_WORD_FUELS_190,Propane,丙烷
KEROSENE_WORD_FUELS_190,Kerosene,煤油
VOTER_WORD_ELECT_193,Voter,選民
BALLOT_WORD_ELECT_193,Ballot,選票
CAMPAIGN_WORD_ELECT_193,Campaign,競選
TURNOUT_WORD_ELECT_193,Turnout,投票率
KING_WORD_CROWN_194,King,國王
EMPEROR_WORD_CROWN_194,Emperor,皇帝
MAHARAJA_WORD_CROWN_194,Maharaja,大君
KENNEDY_WORD_LEADER_196,Washington,華盛頓
CLINTON_WORD_LEADER_196,Jefferson,傑佛遜
LINCOLN_WORD_LEADER_196,Lincoln,林肯
REAGAN_WORD_LEADER_196,Roosevelt,羅斯福
BUSH_WORD_LEADER_196,Wilson,威爾遜
OBAMA_WORD_LEADER_196,Jackson,乃克遜
ADAMS_WORD_LEADER_196,Adams,亞當斯
BIDEN_WORD_LEADER_196,Madison,麥迪遜
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,軟麵包
SAUSAGE_WORD_HOT_DOG_201,Sausage,香腸
KETCHUP_WORD_HOT_DOG_201,Ketchup,番茄醬
DECODE_WORD_CIPHER_208,Decode,解碼
ENCODE_WORD_CIPHER_208,Encode,編碼
KEYWORD_WORD_CIPHER_208,Keyword,密鑰
PASSWORD_WORD_CIPHER_208,Password,密碼
HARMONY_WORD_SYMPHONY_210,Harmony,和聲
OVERTURE_WORD_SYMPHONY_210,Overture,序曲
MELODY_WORD_SYMPHONY_210,Melody,旋律
PHOTO_WORD_ARTWORKS_211,Photo,攝影
DRAWING_WORD_ARTWORKS_211,Drawing,素描
PAINTING_WORD_ARTWORKS_211,Painting,繪畫
HAMMER_WORD_AUCTION_215,Hammer,槌
LOT_WORD_AUCTION_215,Lot,拍品
BID_WORD_AUCTION_215,Bid,出價
PRICE_WORD_AUCTION_215,Price,價格
CATALOG_WORD_AUCTION_215,Catalog,目錄
BIDDER_WORD_AUCTION_215,Bidder,競標者
EXCELSA_WORD_BEANS_219,Excelsa,埃塞爾薩
ROBUSTA_WORD_BEANS_219,Robusta,羅布斯塔
LIBERICA_WORD_BEANS_219,Liberica,利比里卡
ARABICA_WORD_BEANS_219,Arabica,阿拉比卡
TENT_WORD_CAMPING_221,Tent,帳篷
CAMPFIRE_WORD_CAMPING_221,Campfire,營火
HAMMOCK_WORD_CAMPING_221,Hammock,吊床
ORGAN_WORD_PLAY_223,Organ,管風琴
VIOLIN_WORD_PLAY_223,Violin,小提琴
UKULELE_WORD_PLAY_223,Ukulele,烏克麗麗
DRUM_WORD_PLAY_223,Drum,鼓
