id,basic_card_name_en,ar-SA
USA_WORD_MAP_32,USA,أمريكا
UK_WORD_MAP_32,UK,بريطانيا
CYPRUS_WORD_MAP_32,Cyprus,قبرص
JAPAN_WORD_MAP_32,Japan,اليابان
ARMOR_WORD_KNIGHT_34,Armor,درع
HELMET_WORD_KNIGHT_34,Helmet,خوذة
SHIELD_WORD_KNIGHT_34,Shield,تِرس
WEAPON_WORD_KNIGHT_34,Weapon,سلاح
DESTRIER_WORD_KNIGHT_34,Destrier,حصان حرب
CHIVALRY_WORD_KNIGHT_34,Chivalry,فروسية
SHOOTER_WORD_GAMER_36,Shooter,تصويب
ARCADE_WORD_GAMER_36,Arcade,آركيد
STRATEGY_WORD_GAMER_36,Strategy,استراتيجية
SCORE_WORD_GAMER_36,Score,نتيجة
DRYER_WORD_DEVICE_38,Dryer,مجفف
PRINTER_WORD_DEVICE_38,Printer,طابعة
FAX_WORD_DEVICE_38,Fax,فاكس
HEATER_WORD_DEVICE_38,Heater,مدفأة
MANSION_WORD_HOUSE_40,Mansion,قصر
PALACE_WORD_HOUSE_40,Palace,قصر ملكي
VILLA_WORD_HOUSE_40,Villa,فيلا
PILOT_WORD_JOBS_42,Pilot,طيار
MAILMAN_WORD_JOBS_42,Mailman,ساعي بريد
DOCTOR_WORD_JOBS_42,Doctor,طبيب
WELDER_WORD_JOBS_42,Welder,لحّام
ENGINEER_WORD_JOBS_42,Engineer,مهندس
PLUMBER_WORD_JOBS_42,Plumber,سبّاك
ACTOR_WORD_JOBS_42,Actor,ممثل
NURSE_WORD_JOBS_42,Nurse,ممرضة
SANDALS_WORD_FOOTWEAR_46,Sandals,صندل
UGGS_WORD_FOOTWEAR_46,Uggs,أُغز
SLIPPERS_WORD_FOOTWEAR_46,Slippers,شبشب
CLOGS_WORD_FOOTWEAR_46,Clogs,قبقاب
LOAFERS_WORD_FOOTWEAR_46,Loafers,لوفر
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,حذاء رياضي
CAR_WORD_DRIVING_49,Car,سيارة
ROAD_WORD_DRIVING_49,Road,طريق
SIGN_WORD_DRIVING_49,Sign,لافتة
TRAFFIC_WORD_DRIVING_49,Traffic,مرور
VESPUCCI_WORD_EXPLORER_51,Vespucci,فسبوتشي
MAGELLAN_WORD_EXPLORER_51,Magellan,ماجلان
COLUMBUS_WORD_EXPLORER_51,Columbus,كولومبوس
KICK_WORD_MOVEMENT_52,Kick,ركلة
WALK_WORD_MOVEMENT_52,Walk,مشي
JUMP_WORD_MOVEMENT_52,Jump,قفز
SOLID_WORD_PHASE_57,Solid,صلب
LIQUID_WORD_PHASE_57,Liquid,سائل
GAS_WORD_PHASE_57,Gas,غاز
COMFY_WORD_COZY_58,Comfy,مريح
WARM_WORD_COZY_58,Warm,دافئ
SNUG_WORD_COZY_58,Snug,مُحتضَن
ARIES_WORD_ZODIAC_59,Aries,الحمل
TAURUS_WORD_ZODIAC_59,Taurus,الثور
GEMINI_WORD_ZODIAC_59,Gemini,الجوزاء
LEO_WORD_ZODIAC_59,Leo,الأسد
VIRGO_WORD_ZODIAC_59,Virgo,العذراء
LIBRA_WORD_ZODIAC_59,Libra,الميزان
SCORPIO_WORD_ZODIAC_59,Scorpio,العقرب
PISCES_WORD_ZODIAC_59,Pisces,الحوت
FRIGATE_WORD_SHIP_62,Frigate,فرقاطة
CARAVEL_WORD_SHIP_62,Caravel,كارافيل
GALLEON_WORD_SHIP_62,Galleon,غليون
BRIG_WORD_SHIP_62,Brig,بريغ
TANKER_WORD_SHIP_62,Tanker,ناقلة
TUGBOAT_WORD_SHIP_62,Tugboat,قاطرة
STAMP_WORD_MAILMAN_63,Stamp,طابع
ENVELOPE_WORD_MAILMAN_63,Envelope,ظرف
LETTER_WORD_MAILMAN_63,Letter,رسالة
MAIL_WORD_MAILMAN_63,Mail,بريد
SEAL_WORD_MAILMAN_63,Seal,ختم
INK_WORD_MAILMAN_63,Ink,حبر
BUST_WORD_SCULPT_64,Bust,تمثال نصفي
FIGURINE_WORD_SCULPT_64,Figurine,تمثال صغير
STATUE_WORD_SCULPT_64,Statue,تمثال
MONUMENT_WORD_SCULPT_64,Monument,نصب تذكاري
ENGLISH_WORD_LANGUAGE_70,English,الإنجليزية
ITALIAN_WORD_LANGUAGE_70,Italian,الإيطالية
HINDI_WORD_LANGUAGE_70,Hindi,الهندية
JAPANESE_WORD_LANGUAGE_70,Japanese,اليابانية
HEBREW_WORD_LANGUAGE_70,Hebrew,العبرية
DANISH_WORD_LANGUAGE_70,Danish,الدنماركية
LATIN_WORD_LANGUAGE_70,Latin,اللاتينية
POLISH_WORD_LANGUAGE_70,Polish,البولندية
LENS_WORD_CAMERA_73,Lens,عدسة
FLASH_WORD_CAMERA_73,Flash,فلاش
ZOOM_WORD_CAMERA_73,Zoom,تكبير
FILTER_WORD_CAMERA_73,Filter,مرشّح
SHUTTER_WORD_CAMERA_73,Shutter,مغلاق
EXPOSURE_WORD_CAMERA_73,Exposure,تعريض
MIST_WORD_FOG_76,Mist,ضباب خفيف
HAZE_WORD_FOG_76,Haze,ضبابية
SMOG_WORD_FOG_76,Smog,ضباب دخاني
VAPOR_WORD_FOG_76,Vapor,بخار
SLEET_WORD_SNOW_77,Sleet,مطر ثلجي
FLAKE_WORD_SNOW_77,Flake,ندفة
ICEBERG_WORD_SNOW_77,Frost,صقيع
HEDGEHOG_WORD_SPIKY_78,Hedgehog,قنفذ
CACTUS_WORD_SPIKY_78,Cactus,صبّار
DURIAN_WORD_SPIKY_78,Durian,دوريان
DOVE_WORD_BIRDS_80,Dove,حمامة
EAGLE_WORD_BIRDS_80,Eagle,نسر
SWAN_WORD_BIRDS_80,Swan,بجعة
OWL_WORD_BIRDS_80,Owl,بومة
HERON_WORD_BIRDS_80,Heron,مالك الحزين
ROBIN_WORD_BIRDS_80,Robin,أبو الحناء
FINCH_WORD_BIRDS_80,Finch,حسّون
VULTURE_WORD_BIRDS_80,Vulture,نسر أسود
SARTRE_WORD_MINDS_82,Sartre,سارتر
DANTE_WORD_MINDS_82,Dante,دانتي
PLATO_WORD_MINDS_82,Plato,أفلاطون
SOCRATES_WORD_MINDS_82,Socrates,سقراط
GALILEO_WORD_MINDS_82,Galileo,غاليليو
KANT_WORD_MINDS_82,Kant,كانط
PUCK_WORD_HOCKEY_86,Puck,قرص
PENALTY_WORD_HOCKEY_86,Penalty,عقوبة
GOAL_WORD_HOCKEY_86,Goal,هدف
RINK_WORD_HOCKEY_86,Rink,حلبة
COUPLE_WORD_DATE_87,Couple,زوجان
TUXEDO_WORD_DATE_87,Wine,نبيذ
FLOWERS_WORD_DATE_87,Flowers,أزهار
TEETH_WORD_SAW_88,Teeth,أسنان
BLADE_WORD_SAW_88,Blade,نصل
NOTCH_WORD_SAW_88,Notch,شقّ
OLDMAN_WORD_ACTOR_89,Oldman,أولدمان
PITT_WORD_ACTOR_89,Pitt,بيت
EASTWOOD_WORD_ACTOR_89,Eastwood,إيستوود
HANKS_WORD_ACTOR_89,Hanks,هانكس
CROWE_WORD_ACTOR_89,Crowe,كرو
CRUISE_WORD_ACTOR_89,Cruise,كروز
DICAPRIO_WORD_ACTOR_89,DiCaprio,ديكابريو
WAHLBERG_WORD_ACTOR_89,Wahlberg,والبرغ
MERCURY_WORD_PLANET_90,Mercury,عطارد
JUPITER_WORD_PLANET_90,Jupiter,المشتري
SATURN_WORD_PLANET_90,Saturn,زحل
URANUS_WORD_PLANET_90,Uranus,أورانوس
NEPTUNE_WORD_PLANET_90,Neptune,نبتون
MARS_WORD_PLANET_90,Mars,المريخ
EARTH_WORD_PLANET_90,Earth,الأرض
VENUS_WORD_PLANET_90,Venus,الزهرة
BIOLOGY_WORD_LESSONS_94,Biology,أحياء
PHYSICS_WORD_LESSONS_94,Physics,فيزياء
GEOMETRY_WORD_LESSONS_94,Geometry,هندسة
ALGEBRA_WORD_LESSONS_94,Algebra,جبر
HISTORY_WORD_LESSONS_94,History,تاريخ
CALCULUS_WORD_LESSONS_94,Calculus,تفاضل
TABLETS_WORD_PILLS_99,Tablets,أقراص
CAPSULES_WORD_PILLS_99,Capsules,كبسولات
LOZENGES_WORD_PILLS_99,Lozenges,أقراص مصّ
CLOUDS_WORD_RAINY_100,Clouds,غيوم
SHOWERS_WORD_RAINY_100,Showers,زخات
PUDDLES_WORD_RAINY_100,Puddles,برك
CIABATTA_WORD_BREADS_102,Ciabatta,تشاباتا
BAGUETTE_WORD_BREADS_102,Baguette,باغيت
FOCACCIA_WORD_BREADS_102,Focaccia,فوكاتشا
PITA_WORD_BREADS_102,Pita,بيتا
CHALLAH_WORD_BREADS_102,Challah,حلّة
TORTILLA_WORD_BREADS_102,Tortilla,تورتيلا
BRIOCHE_WORD_BREADS_102,Brioche,بريوش
AREPA_WORD_BREADS_102,Arepa,أريبا
GYRUS_WORD_BRAIN_106,Gyrus,تلفيف
CORTEX_WORD_BRAIN_106,Cortex,قشرة
LOBE_WORD_BRAIN_106,Lobe,فَصّ
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,هيدروجين
NITROGEN_WORD_ELEMENTS_107,Nitrogen,نيتروجين
SULFUR_WORD_ELEMENTS_107,Sulfur,كبريت
CARBON_WORD_ELEMENTS_107,Carbon,كربون
SODIUM_WORD_ELEMENTS_107,Sodium,صوديوم
SILICON_WORD_ELEMENTS_107,Silicon,سيليكون
IODINE_WORD_ELEMENTS_107,Iodine,يود
OXYGEN_WORD_ELEMENTS_107,Oxygen,أكسجين
BRIE_WORD_CHEESE_108,Brie,بري
FETA_WORD_CHEESE_108,Feta,فيتا
GOUDA_WORD_CHEESE_108,Gouda,غودا
CHEDDAR_WORD_CHEESE_108,Cheddar,شيدر
PARMESAN_WORD_CHEESE_108,Parmesan,بارميزان
RICOTTA_WORD_CHEESE_108,Ricotta,ريكوتا
EDAM_WORD_CHEESE_108,Edam,إيدام
DORBLU_WORD_CHEESE_108,Swiss,سويسري
WORKOUT_WORD_FITNESS_110,Workout,تمرين
YOGA_WORD_FITNESS_110,Yoga,يوغا
PILATES_WORD_FITNESS_110,Pilates,بيلاتس
JOGGING_WORD_FITNESS_110,Jogging,جري خفيف
GYM_WORD_FITNESS_110,Gym,نادي رياضي
CARDIO_WORD_FITNESS_110,Cardio,كارديو
BICEPS_WORD_MUSCLES_112,Biceps,عضلة ذات رأسين
DELTOIDS_WORD_MUSCLES_112,Deltoids,دالية
ABS_WORD_MUSCLES_112,Abs,عضلات بطن
TRICEPS_WORD_MUSCLES_112,Triceps,عضلة ثلاثية
SCARAB_WORD_EGYPT_114,Scarab,جعران
PHARAOH_WORD_EGYPT_114,Pharaoh,فرعون
PAPYRUS_WORD_EGYPT_114,Papyrus,بردي
PYRAMID_WORD_EGYPT_114,Pyramid,هرم
MULBERRY_WORD_BERRY_116,Mulberry,توت
BILBERRY_WORD_BERRY_116,Bilberry,عنبية
BARBERRY_WORD_BERRY_116,Barberry,بربريس
ATHENS_WORD_CAPITALS_119,Athens,أثينا
PRAGUE_WORD_CAPITALS_119,Prague,براغ
MADRID_WORD_CAPITALS_119,Madrid,مدريد
RIYADH_WORD_CAPITALS_119,Riyadh,الرياض
OTTAWA_WORD_CAPITALS_119,Ottawa,أوتاوا
ROME_WORD_CAPITALS_119,Rome,روما
OSLO_WORD_CAPITALS_119,Oslo,أوسلو
CAIRO_WORD_CAPITALS_119,Cairo,القاهرة
POWDER_WORD_MAKEUP_120,Powder,بودرة
SPONGE_WORD_MAKEUP_120,Sponge,إسفنجة
PALETTE_WORD_MAKEUP_120,Palette,لوحة ألوان
SERUM_WORD_MAKEUP_120,Serum,سيروم
PEEL_WORD_MAKEUP_120,Peel,تقشير
BLUSH_WORD_MAKEUP_120,Blush,أحمر خدود
SAVATE_WORD_COMBAT_121,Savate,سافات
JUDO_WORD_COMBAT_121,Judo,جودو
KARATE_WORD_COMBAT_121,Karate,كاراتيه
KUNG_FU_WORD_COMBAT_121,Kung fu,كونغ فو
SUMO_WORD_COMBAT_121,Sumo,سومو
SILAT_WORD_COMBAT_121,Silat,سيلات
CHORDS_WORD_GUITAR_122,Chords,أوتار
PICKUPS_WORD_GUITAR_122,Pickups,ملتقطات
STRINGS_WORD_GUITAR_122,Strings,أوتار
RIFFS_WORD_GUITAR_122,Riffs,ريفات
POINTE_WORD_BALLET_125,Pointe,بوانت
TUTU_WORD_BALLET_125,Tutu,توتو
BARRE_WORD_BALLET_125,Barre,بار
ALLIANCE_WORD_UNITE_126,Alliance,تحالف
LEAGUE_WORD_UNITE_126,League,عصبة
UNION_WORD_UNITE_126,Union,اتحاد
JEWELRY_WORD_LUXURY_133,Jewelry,مجوهرات
WATCH_WORD_LUXURY_133,Watch,ساعة
CAVIAR_WORD_LUXURY_133,Caviar,كافيار
YACHT_WORD_LUXURY_133,Yacht,يخت
SAVANNA_WORD_BIOMES_135,Savanna,سافانا
TUNDRA_WORD_BIOMES_135,Tundra,تندرا
TAIGA_WORD_BIOMES_135,Taiga,تايغا
SRIRACHA_WORD_SPICY_136,Sriracha,سريراتشا
WASABI_WORD_SPICY_136,Wasabi,واسابي
HABANERO_WORD_SPICY_136,Habanero,هابانيرو
COCKPIT_WORD_PLANE_139,Cockpit,قمرة قيادة
SEATBELT_WORD_PLANE_139,Seatbelt,حزام أمان
WINGS_WORD_PLANE_139,Wings,أجنحة
ENGINE_WORD_PLANE_139,Engine,محرك
RUDDER_WORD_PLANE_139,Rudder,دفّة
FUSELAGE_WORD_PLANE_139,Fuselage,جسم الطائرة
AILERON_WORD_PLANE_139,Aileron,جُنيح
FLY_WORD_PLANE_139,Fly,طيران
BEAVER_WORD_RODENTS_141,Beaver,قندس
MARMOT_WORD_RODENTS_141,Marmot,مرموط
NUTRIA_WORD_RODENTS_141,Nutria,نوتريا
SQUIRREL_WORD_RODENTS_141,Squirrel,سنجاب
CAPYBARA_WORD_RODENTS_141,Capybara,كابيبارا
RAT_WORD_RODENTS_141,Rat,جرذ
SOLAR_WORD_ENERGY_145,Solar,شمسية
NUCLEAR_WORD_ENERGY_145,Nuclear,نووية
KINETIC_WORD_ENERGY_145,Kinetic,حركية
THERMAL_WORD_ENERGY_145,Thermal,حرارية
ESSAY_WORD_ARTICLES_147,Essay,مقالة
REVIEW_WORD_ARTICLES_147,Review,مراجعة
OPINION_WORD_ARTICLES_147,Opinion,رأي
TSUNAMI_WORD_DISASTER_148,Tsunami,تسونامي
TORNADO_WORD_DISASTER_148,Tornado,إعصار
FLOOD_WORD_DISASTER_148,Flood,فيضان
GORILLA_WORD_PRIMATES_149,Gorilla,غوريلا
GIBBON_WORD_PRIMATES_149,Gibbon,جيبون
BABOON_WORD_PRIMATES_149,Baboon,بابون
LEMUR_WORD_PRIMATES_149,Lemur,ليمور
MACAQUE_WORD_PRIMATES_149,Macaque,مكاك
SIMIAN_WORD_PRIMATES_149,Simian,قرد
MANDRILL_WORD_PRIMATES_149,Mandrill,مندريل
TARSIER_WORD_PRIMATES_149,Tarsier,ترسيه
PYTHON_WORD_CODING_150,Python,بايثون
JAVA_WORD_CODING_150,Java,جافا
RUBY_WORD_CODING_150,Ruby,روبي
SWIFT_WORD_CODING_150,Swift,سويفت
SCRIPT_WORD_CODING_150,Script,سكريبت
PHP_WORD_CODING_150,PHP,بي إتش بي
SQL_WORD_CODING_150,SQL,إس كيو إل
BUGS_WORD_CODING_150,Bugs,أخطاء
LYRICS_WORD_RAP_151,Lyrics,كلمات
VERSE_WORD_RAP_151,Verse,بيت شعر
RHYME_WORD_RAP_151,Rhyme,قافية
PUNCH_WORD_RAP_151,Punch,لكمة
NIAGARA_WORD_WATER_152,Niagara,نياغارا
VICTORIA_WORD_WATER_152,Victoria,فيكتوريا
YOSEMITE_WORD_WATER_152,Yosemite,يوسمايت
HAVASU_WORD_WATER_152,Havasu,هافاسو
YO_YO_WORD_TOYS_154,Yo-yo,يويو
SPINNER_WORD_TOYS_154,Spinner,سبينر
DOLL_WORD_TOYS_154,Doll,دمية
SERGEANT_WORD_ARMY_156,Sergeant,رقيب
MAJOR_WORD_ARMY_156,Major,رائد
GENERAL_WORD_ARMY_156,General,جنرال
COLONEL_WORD_ARMY_156,Colonel,عقيد
PRIVATE_WORD_ARMY_156,Private,جندي
CORPORAL_WORD_ARMY_156,Corporal,عريف
CAPTAIN_WORD_ARMY_156,Captain,نقيب
RANK_WORD_ARMY_156,Rank,رتبة
ZEN_WORD_MEDITATE_160,Zen,زِن
BREATH_WORD_MEDITATE_160,Breath,نَفَس
PEACE_WORD_MEDITATE_160,Peace,سلام
MANTRA_WORD_MEDITATE_160,Mantra,مانترا
FAMOUS_WORD_FAME_161,Famous,مشهور
ICONIC_WORD_FAME_161,Iconic,أيقوني
POPULAR_WORD_FAME_161,Popular,شعبي
RENOWN_WORD_FAME_161,Renown,شُهرة
SYNTAX_WORD_LINGUIST_162,Syntax,نحو
POLYGLOT_WORD_LINGUIST_162,Polyglot,متعدد اللغات
GRAMMAR_WORD_LINGUIST_162,Grammar,قواعد
SCHOLAR_WORD_LINGUIST_162,Scholar,عالِم
EASTER_WORD_HOLIDAY_163,Easter,عيد الفصح
NEW_YEAR_WORD_HOLIDAY_163,New Year,رأس السنة
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,يوم العلم
DUMBBELL_WORD_GYM_164,Dumbbell,دمبل
BARBELL_WORD_GYM_164,Barbell,بار حديد
AIR_BIKE_WORD_GYM_164,Air bike,دراجة هوائية
PERICLES_WORD_WILLIAM_165,Pericles,بريكليس
MACBETH_WORD_WILLIAM_165,Macbeth,ماكبث
HAMLET_WORD_WILLIAM_165,Hamlet,هاملت
OTHELLO_WORD_WILLIAM_165,Othello,عطيل
JULIET_WORD_WILLIAM_165,Juliet,جولييت
ROMEO_WORD_WILLIAM_165,Romeo,روميو
TEMPEST_WORD_WILLIAM_165,Tempest,العاصفة
HENRY_V_WORD_WILLIAM_165,Henry V,هنري الخامس
WOLF_WORD_CANINES_168,Wolf,ذئب
COYOTE_WORD_CANINES_168,Coyote,ذئب البراري
DINGO_WORD_CANINES_168,Dingo,دنغو
JACKAL_WORD_CANINES_168,Jackal,ابن آوى
FOX_WORD_CANINES_168,Fox,ثعلب
DHOLE_WORD_CANINES_168,Dhole,كلب بري
HARVARD_WORD_STUDIES_169,Harvard,هارفارد
STANFORD_WORD_STUDIES_169,Stanford,ستانفورد
OXFORD_WORD_STUDIES_169,Oxford,أكسفورد
YALE_WORD_STUDIES_169,Yale,ييل
SORBONNE_WORD_STUDIES_169,Sorbonne,السوربون
MIT_WORD_STUDIES_169,MIT,إم آي تي
LEMON_WORD_CITRUS_173,Lemon,ليمون
LIME_WORD_CITRUS_173,Lime,ليمون أخضر
POMELO_WORD_CITRUS_173,Pomelo,بوملي
GLIDER_WORD_AIRCRAFT_174,Glider,طائرة شراعية
JETLINER_WORD_AIRCRAFT_174,Jetliner,طائرة نفاثة
AIRPLANE_WORD_AIRCRAFT_174,Airplane,طائرة
MERLOT_WORD_GRAPE_177,Merlot,ميرلو
RIESLING_WORD_GRAPE_177,Riesling,ريسلنغ
SHIRAZ_WORD_GRAPE_177,Shiraz,شيراز
GRENACHE_WORD_GRAPE_177,Grenache,غرناش
MUSCAT_WORD_GRAPE_177,Muscat,مسقط
MALBEC_WORD_GRAPE_177,Malbec,مالبك
AMANITA_WORD_MUSHROOM_178,Amanita,أمانيتا
PORCINI_WORD_MUSHROOM_178,Porcini,بورتشيني
RUSSULA_WORD_MUSHROOM_178,Russula,روسولا
TRUFFLE_WORD_MUSHROOM_178,Truffle,كمأة
ENOKI_WORD_MUSHROOM_178,Enoki,إينوكي
SHIITAKE_WORD_MUSHROOM_178,Shiitake,شيتاكي
WALRUS_WORD_ARCTIC_180,Walrus,فظّ
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,دب قطبي
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,بومة ثلجية
REINDEER_WORD_ARCTIC_180,Reindeer,رنّة
PIT_STOP_WORD_RACING_182,Pit stop,محطة صيانة
FINISH_WORD_RACING_182,Finish,نهاية
SPEEDWAY_WORD_RACING_182,Speedway,حلبة سباق
ASSIST_WORD_HELP_183,Assist,مساعدة
SUPPORT_WORD_HELP_183,Support,دعم
DONATE_WORD_HELP_183,Donate,تبرّع
OPAL_WORD_GEMSTONE_186,Opal,أوبال
RUBY_WORD_GEMSTONE_186,Ruby,ياقوت
TOPAZ_WORD_GEMSTONE_186,Topaz,توباز
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,ياقوت أزرق
GARNET_WORD_GEMSTONE_186,Garnet,عقيق
DIAMOND_WORD_GEMSTONE_186,Diamond,ألماس
ONYX_WORD_GEMSTONE_186,Onyx,جزع
AGATE_WORD_GEMSTONE_186,Agate,عقيق يماني
ORION_WORD_PATTERN_188,Orion,الجبّار
PERSEUS_WORD_PATTERN_188,Perseus,برشاوس
DRACO_WORD_PATTERN_188,Draco,التنين
SCORPIUS_WORD_PATTERN_188,Scorpius,العقرب
CYGNUS_WORD_PATTERN_188,Cygnus,الدجاجة
SERPENS_WORD_PATTERN_188,Serpens,الحيّة
GASOLINE_WORD_FUELS_190,Gasoline,بنزين
DIESEL_WORD_FUELS_190,Diesel,ديزل
COAL_WORD_FUELS_190,Coal,فحم
PROPANE_WORD_FUELS_190,Propane,بروبان
KEROSENE_WORD_FUELS_190,Kerosene,كيروسين
VOTER_WORD_ELECT_193,Voter,ناخب
BALLOT_WORD_ELECT_193,Ballot,اقتراع
CAMPAIGN_WORD_ELECT_193,Campaign,حملة
TURNOUT_WORD_ELECT_193,Turnout,إقبال
KING_WORD_CROWN_194,King,ملك
EMPEROR_WORD_CROWN_194,Emperor,إمبراطور
MAHARAJA_WORD_CROWN_194,Maharaja,مهراجا
KENNEDY_WORD_LEADER_196,Washington,واشنطن
CLINTON_WORD_LEADER_196,Jefferson,جيفرسون
LINCOLN_WORD_LEADER_196,Lincoln,لينكولن
REAGAN_WORD_LEADER_196,Roosevelt,روزفلت
BUSH_WORD_LEADER_196,Wilson,ويلسون
OBAMA_WORD_LEADER_196,Jackson,جاكسون
ADAMS_WORD_LEADER_196,Adams,آدامز
BIDEN_WORD_LEADER_196,Madison,ماديسون
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,خبز طري
SAUSAGE_WORD_HOT_DOG_201,Sausage,نقانق
KETCHUP_WORD_HOT_DOG_201,Ketchup,كاتشب
DECODE_WORD_CIPHER_208,Decode,فكّ تشفير
ENCODE_WORD_CIPHER_208,Encode,تشفير
KEYWORD_WORD_CIPHER_208,Keyword,كلمة مفتاح
PASSWORD_WORD_CIPHER_208,Password,كلمة مرور
HARMONY_WORD_SYMPHONY_210,Harmony,انسجام
OVERTURE_WORD_SYMPHONY_210,Overture,افتتاحية
MELODY_WORD_SYMPHONY_210,Melody,لحن
PHOTO_WORD_ARTWORKS_211,Photo,صورة
DRAWING_WORD_ARTWORKS_211,Drawing,رسم
PAINTING_WORD_ARTWORKS_211,Painting,لوحة
HAMMER_WORD_AUCTION_215,Hammer,مطرقة
LOT_WORD_AUCTION_215,Lot,قطعة
BID_WORD_AUCTION_215,Bid,مزايدة
PRICE_WORD_AUCTION_215,Price,سعر
