id,category_name_en,hi-IN
WORD_LOCK_321,Lock,ताला
WORD_LEGS_322,Legs,पैर
WORD_PYRAMIDS_330,Pyramids,मिस्र के देवता
WORD_SHAFT_331,Shaft,खनन
WORD_FARMING_333,Farming,खेती
WORD_SLIDING_339,Sliding,फिसलना
WORD_PAINTING_340,Painting,चित्रकारी
WORD_RICE_342,Rice,चावल
WORD_HEART_344,Love,प्यार
WORD_HIPPIE_349,Hippie,हिप्पी
WORD_ROBOT_354,Robot,रोबोट
WORD_GREECE_359,Greece,ग्रीस
WORD_DYNAMICS_360,Dynamics,गतिशीलता
WORD_LAKES_365,Lakes,झीलें
WORD_NUCLEAR_366,Nuclear,परमाणु
WORD_ITALY_376,Italy,इटली
WORD_POINTING_379,Pointing,संकेतवाचक
WORD_SKIN_380,Skin,त्वचा
WORD_BUILD_384,Build,निर्माण
WORD_POLICIES_394,Politics,राजनीति
WORD_STRENGTH_401,Strength,शक्ति
WORD_MESSAGE_407,Message,संदेश
WORD_VIEWS_410,Views,दर्शन
WORD_ORGANS_412,Organs,अंग
WORD_TAROT_417,Tarot,टैरो
WORD_VOICES_439,Voices,आवाजें
WORD_POETRY_440,Poetry,कविता
WORD_MEALS_444,Meals,भोजन
WORD_ALCHEMY_445,Alchemy,कीमिया
WORD_PAGANISM_469,Paganism,बहुदेववाद
WORD_PRESENT_470,Present,वर्तमान
WORD_SECRET_471,Secret,रहस्य
WORD_EQUIDAE_475,Equidae,घोड़े परिवार
WORD_LEATHER_480,Leather,चमड़ा
WORD_CASTLE_485,Castle,किला
WORD_DISPLAY_486,Display,प्रदर्शन
WORD_CULTURES_487,Cultures,संस्कृतियां
WORD_WARRIORS_491,Warriors,योद्धा
WORD_LIE_492,Lie,झूठ
WORD_VIOLIN_508,Orchestra,ऑर्केस्ट्रा
WORD_ANAGRAM_511,Anagram,अनाग्राम
WORD_DRUM_518,Drum,ढोल
WORD_WREATH_544,Winning,जीत
WORD_ZEN_549,Zen,ज़ेन
WORD_NETWORK_588,Network,नेटवर्क
WORD_CUSTOMS_592,Customs,सीमा शुल्क
WORD_MORTGAGE_595,Mortgage,बंधक
WORD_CONCRETE_601,Concrete,कंक्रीट
WORD_MEMES_620,Memes,मीम्स
WORD_ALKANES_641,Alkanes,एल्केन
WORD_EVALUATE_651,Evaluate,मूल्यांकन
WORD_QUEST_680,Quest,खोज
WORD_BEARDS_681,Beards,दाढ़ी
WORD_YINYANG_721,Yinyang,यिन यांग
WORD_FOODIE_726,Foodie,खाने का शौकीन
WORD_OPERA_760,Opera,ओपेरा
WORD_HARBOR_764,Harbor,बंदरगाह
WORD_STREET_768,Street,सड़क
WORD_CHIMERA_795,Chimera,कल्पना
WORD_CARRIAGE_800,Carriage,बग्घी
WORD_GAITS_810,Gaits,चाल
WORD_EARTH_831,Earth,पृथ्वी
WORD_VIOLINS_845,Violins,वायलिन
WORD_GRAMMAR_861,Grammar,व्याकरण
WORD_COASTAL_882,Coastal,तटीय
WORD_WHEEL_890,Wheel,पहिया
WORD_INDUSTRY_921,Industry,उद्योग
WORD_PREFIX_922,Prefix,उपसर्ग
WORD_BREEDS_940,Breeds,बिल्ली की नस्लें
WORD_LANDMARK_948,Landmark,स्थलचिह्न
WORD_RIVERS_959,Rivers,नदियां
WORD_COAST_969,Coast,तट
WORD_SKINCARE_984,Skincare,त्वचा देखभाल
WORD_DYNASTY_991,Dynasty,राजवंश
WORD_PRIEST_1019,Priest,पुजारी
WORD_MAPS_1022,Maps,नक्शे
WORD_SINGING_1054,Singing,गाना
WORD_GENETICS_1060,Genetics,आनुवंशिकी
WORD_SCREEN_1030,Screen,स्क्रीन
WORD_ALARM_1031,Alarm,अलार्म
WORD_LEAVES_1055,Leaves,पत्तियां
WORD_DISHWARE_829,Dishware,बर्तन
WORD_POND_830,Pond,तालाब
PIC_CHESS_1,Chess,शतरंज
PIC_SPORTS_2,Sports,खेल
PIC_FURNITURE_3,Furniture,फर्नीचर
PIC_DECK_4,Deck,ताश
PIC_ZODIAC_5,Zodiac,राशि
PIC_TOOLBOX_6,Toolbox,औजार बॉक्स
PIC_GARMENTS_7,Garments,वस्त्र
PIC_VEGGIE_8,Veggie,सब्जी
PIC_FRUITS_9,Fruits,फल
PIC_CHAIR_10,Chair,कुर्सी
PIC_HATS_11,Hats,टोपियां
PIC_PLAY_12,Music,संगीत
PIC_CLEANING_13,Cleaning,सफाई
PIC_SHOES_14,Shoes,जूते
PIC_MAP_15,Map,देश
PIC_BIRD_16,Bird,पक्षी
PIC_SEAFOOD_17,Seafood,समुद्री भोजन
PIC_DOGS_18,Dogs,कुत्ते
PIC_EATS_19,Eats,फास्ट फूड
PIC_BUILD_20,Build,निर्माण
PIC_FOLKLORE_21,Folklore,लोककथा
PIC_DRUPES_22,Drupes,गुठलीदार फल
PIC_PICNIC_23,Picnic,पिकनिक
PIC_PASTRY_24,Pastry,पेस्ट्री
PIC_WIND_25,Wind,वायु वाद्य
PIC_MALL_26,Mall,मॉल
PIC_STRINGS_27,Strings,तार
PIC_JEWELRY_28,Jewelry,गहने
PIC_FLOWERS_29,Flowers,फूल
PIC_REPTILES_30,Reptiles,सरीसृप
PIC_GEMSTONE_31,Gemstone,रत्न
PIC_INSECTS_32,Insects,कीड़े
PIC_RODENTS_33,Rodents,कृंतक
PIC_WESTERN_34,Western,पश्चिमी
PIC_PIRATE_35,Pirate,समुद्री डाकू
PIC_BEACH_36,Beach,समुद्र तट
PIC_EGYPT_37,Egypt,मिस्र
PIC_SPACE_38,Space,अंतरिक्ष
PIC_SEA_FISH_39,Sea fish,समुद्री मछली
PIC_BIRTHDAY_40,Birthday,जन्मदिन
PIC_CHARGER_41,Charger,चार्जर
PIC_TRANSPORT_42,Transport,परिवहन
PIC_WHISKERS_43,Whiskers,मूंछें
PIC_BURGER_44,Burger,बर्गर
PIC_DRINKS_45,Drinks,पेय
PIC_SHAPES_46,Shapes,आकार
PIC_LUXURY_47,Luxury,विलासिता
PIC_TAROT_48,Tarot,टैरो
PIC_BABIES_49,Babies,शिशु
PIC_SAILOR_50,Sailor,नाविक
PIC_CANDY_51,Candy,कैंडी
PIC_KEYS_52,Keys,चाबियां
PIC_LAWN_53,Lawn,लॉन
PIC_3D_54,3D,3डी
PIC_VAMPIRE_55,Vampire,पिशाच
PIC_LANDMARK_56,Landmark,स्थलचिह्न
PIC_DESERT_57,Desert,रेगिस्तान
PIC_TOYS_58,Toys,खिलौने
PIC_PURPLE_59,Purple,बैंगनी
PIC_YELLOW_60,Yellow,पीला
PIC_RAIN_61,Rain,बारिश
PIC_GYM_62,Gym,जिम
PIC_PAIRS_63,Pairs,जोड़े
PIC_CAMPING_64,Camping,कैंपिंग
PIC_XMAS_65,Xmas,क्रिसमस
PIC_MAIL_66,Mail,डाक
PIC_CHEF_67,Chef,रसोइया
PIC_SCREEN_68,Screen,स्क्रीन
PIC_TOOLS_69,Tools,औजार
PIC_SUPPLIES_70,Supplies,सामग्री
PIC_UTENSILS_71,Utensils,बर्तन
PIC_ARTS_72,Arts,कला
PIC_SURVIVAL_73,Survival,जीविका
PIC_BAKING_74,Baking,बेकिंग
PIC_MEDICAL_75,Medical,चिकित्सा
PIC_ECO_ITEMS_76,Eco-items,पर्यावरण वस्तुएं
PIC_DECOR_77,Decor,सजावट
PIC_AQUATICS_78,Aquatics,जलीय
PIC_ICONS_79,Icons,प्रतीक
PIC_HALLOWEEN_80,Halloween,हैलोवीन
