id,category_name_en,zh-CN
WORD_BERRY_116,Berry,浆果
WORD_CAPITALS_119,Capitals,首都
WORD_MAKEUP_120,Makeup,化妆
WORD_COMBAT_121,Combat,格斗
WORD_GUITAR_122,Guitar,吉他
WORD_BALLET_125,Ballet,芭蕾
WORD_UNITE_126,Unite,联合
WORD_LUXURY_133,Luxury,奢华
WORD_BIOMES_135,Biomes,生物群落
WORD_SPICY_136,Spicy,辛辣
WORD_PLANE_139,Plane,飞机
WORD_RODENTS_141,Rodents,啮齿动物
WORD_ENERGY_145,Energy,能量
WORD_ARTICLES_147,Articles,文章
WORD_DISASTER_148,Disaster,灾难
WORD_PRIMATES_149,Primates,灵长类
WORD_CODING_150,Coding,编程
WORD_RAP_151,Rap,说唱
WORD_WATER_152,Waterfall,瀑布
WORD_TOYS_154,Toys,玩具
WORD_ARMY_156,Army,军衔
WORD_MEDITATE_160,Meditate,冥想
WORD_FAME_161,Fame,名声
WORD_LINGUIST_162,Linguist,语言学家
WORD_HOLIDAY_163,Holiday,假日
WORD_GYM_164,Gym,健身房
WORD_WILLIAM_165,William,莎士比亚
WORD_CANINES_168,Canines,犬类
WORD_STUDIES_169,Studies,名校
WORD_CITRUS_173,Citrus,柑橘
WORD_AIRCRAFT_174,Aircraft,飞行器
WORD_GRAPE_177,Grape,酿酒葡萄
WORD_MUSHROOM_178,Mushroom,蘑菇
WORD_ARCTIC_180,Arctic,北极
WORD_RACING_182,Racing,赛车
WORD_HELP_183,Help,帮助
WORD_GEMSTONE_186,Gemstone,宝石
WORD_PATTERN_188,Celestial,天体
WORD_FUELS_190,Fuels,燃料
WORD_ELECT_193,Elect,选举
WORD_CROWN_194,Crown,王室头衔
WORD_LEADER_196,Leader,美国总统
WORD_HOT_DOG_201,Hot dog,热狗
WORD_CIPHER_208,Cipher,密码
WORD_SYMPHONY_210,Symphony,交响乐
WORD_ARTWORKS_211,Artworks,艺术品
WORD_AUCTION_215,Auction,拍卖
WORD_BEANS_219,Beans,咖啡豆
WORD_CAMPING_221,Camping,露营
WORD_PLAY_223,Music,音乐
WORD_FINANCE_227,Finance,金融
WORD_MEDIEVAL_228,Medieval,中世纪
WORD_OPTICS_229,Optics,光学
WORD_NAVIGATE_230,Navigate,导航
WORD_TODDLER_231,Toddler,幼儿
WORD_FAMILIES_234,Families,动物家族
WORD_STARS_236,Stars,星星
WORD_AI_238,AI,人工智能
WORD_DIVISION_242,Division,行政区划
WORD_SPEAK_244,Speak,口语
WORD_HAIR_245,Hair,头发
WORD_INJURIES_249,Injuries,伤害
WORD_FLU_251,Flu,流感
WORD_MINERALS_253,Minerals,矿物
WORD_RADIATE_257,Radiate,辐射
WORD_HORMONES_259,Hormones,激素
WORD_EYE_260,Eye,眼睛
WORD_SHOVEL_261,Shovel,铲子
WORD_ALLOY_264,Alloy,合金
WORD_FESTIVAL_270,Festival,节日
WORD_METAL_272,Metal,稀土金属
WORD_ARTIFACT_276,Artifact,文物
WORD_DEFENSE_277,Defense,防御
WORD_PARTICLE_281,Particle,粒子
WORD_NEW_YORK_287,New York,纽约
WORD_NO_BONES_289,No bones,无脊椎动物
WORD_LEGENDS_291,Legends,传说
WORD_HELLO_295,Hello,你好
WORD_PHD_296,PhD,博士
WORD_OK_SIGN_301,OK,同意词
WORD_JUSTICE_310,Justice,正义
WORD_PRISONER_312,Prisoner,囚犯
WORD_SPACE_314,Space,太空
WORD_WESTERN_317,Western,西部
WORD_LOCK_321,Lock,锁
WORD_LEGS_322,Legs,腿
WORD_PYRAMIDS_330,Pyramids,埃及神祗
WORD_SHAFT_331,Shaft,矿井
WORD_FARMING_333,Farming,农业
WORD_SLIDING_339,Sliding,滑行运动
WORD_PAINTING_340,Painting,绘画
WORD_RICE_342,Rice,米饭
WORD_HEART_344,Love,爱情
WORD_HIPPIE_349,Hippie,嬉皮士
WORD_ROBOT_354,Robot,机器人
WORD_GREECE_359,Greece,希腊字母
WORD_DYNAMICS_360,Dynamics,动力学
WORD_LAKES_365,Lakes,湖泊
WORD_NUCLEAR_366,Nuclear,原子粒子
WORD_ITALY_376,Italy,意大利城市
WORD_POINTING_379,Pointing,指示词
WORD_SKIN_380,Skin,皮肤
WORD_BUILD_384,Build,公共建筑
WORD_POLICIES_394,Politics,政治
WORD_STRENGTH_401,Strength,力量
WORD_MESSAGE_407,Message,消息
WORD_VIEWS_410,Views,哲学观点
WORD_ORGANS_412,Organs,器官
WORD_TAROT_417,Tarot,塔罗
WORD_VOICES_439,Voices,声音
WORD_POETRY_440,Poetry,诗歌
WORD_MEALS_444,Meals,餐食
WORD_ALCHEMY_445,Alchemy,炼金术
WORD_PAGANISM_469,Paganism,异教
WORD_PRESENT_470,Present,当下
WORD_SECRET_471,Secret,秘密
WORD_EQUIDAE_475,Equidae,马科动物
WORD_LEATHER_480,Leather,皮革
WORD_CASTLE_485,Castle,城堡
WORD_DISPLAY_486,Display,显示屏
WORD_CULTURES_487,Cultures,古代文明
WORD_WARRIORS_491,Warriors,日本武士
WORD_LIE_492,Lie,谎言
WORD_VIOLIN_508,Orchestra,管弦乐
WORD_ANAGRAM_511,Anagram,字谜
WORD_DRUM_518,Drum,鼓
WORD_WREATH_544,Winning,获胜
WORD_ZEN_549,Zen,禅
WORD_NETWORK_588,Network,网络
WORD_CUSTOMS_592,Customs,海关
WORD_MORTGAGE_595,Mortgage,抵押贷款
WORD_CONCRETE_601,Concrete,建筑施工
WORD_MEMES_620,Memes,表情包
WORD_ALKANES_641,Alkanes,烷烃
WORD_EVALUATE_651,Evaluate,评估
WORD_QUEST_680,Quest,探索
WORD_BEARDS_681,Beards,胡须
WORD_YINYANG_721,Yinyang,阴阳
WORD_FOODIE_726,Foodie,美食家
WORD_OPERA_760,Opera,歌剧
WORD_HARBOR_764,Harbor,港口
WORD_STREET_768,Street,街道
WORD_CHIMERA_795,Chimera,奇美拉
WORD_CARRIAGE_800,Carriage,马车
WORD_GAITS_810,Gaits,步态
WORD_EARTH_831,Earth,地球
WORD_VIOLINS_845,Violins,小提琴
WORD_GRAMMAR_861,Grammar,语法
WORD_COASTAL_882,Coastal,海岸
WORD_WHEEL_890,Wheel,车轮
WORD_INDUSTRY_921,Industry,工业
WORD_PREFIX_922,Prefix,前缀
WORD_BREEDS_940,Breeds,猫品种
WORD_LANDMARK_948,Landmark,地标
WORD_RIVERS_959,Rivers,河流
WORD_COAST_969,Coast,海岸线
WORD_SKINCARE_984,Skincare,护肤
WORD_DYNASTY_991,Dynasty,王朝
WORD_PRIEST_1019,Priest,神父
WORD_MAPS_1022,Maps,地图
WORD_SINGING_1054,Singing,唱歌
WORD_GENETICS_1060,Genetics,遗传学
WORD_SCREEN_1030,Screen,屏幕
WORD_ALARM_1031,Alarm,警报声
WORD_LEAVES_1055,Leaves,叶子
WORD_DISHWARE_829,Dishware,餐具
WORD_POND_830,Pond,池塘
PIC_CHESS_1,Chess,象棋
PIC_SPORTS_2,Sports,运动
PIC_FURNITURE_3,Furniture,家具
PIC_DECK_4,Deck,扑克牌
PIC_ZODIAC_5,Zodiac,星座
PIC_TOOLBOX_6,Toolbox,工具箱
PIC_GARMENTS_7,Garments,服装
PIC_VEGGIE_8,Veggie,蔬菜
PIC_FRUITS_9,Fruits,水果
PIC_CHAIR_10,Chair,椅子
PIC_HATS_11,Hats,帽子
PIC_PLAY_12,Music,音乐
PIC_CLEANING_13,Cleaning,清洁
PIC_SHOES_14,Shoes,鞋子
PIC_MAP_15,Map,国家
PIC_BIRD_16,Bird,鸟
PIC_SEAFOOD_17,Seafood,海鲜
PIC_DOGS_18,Dogs,狗
PIC_EATS_19,Eats,快餐
PIC_BUILD_20,Build,公共建筑
PIC_FOLKLORE_21,Folklore,民间传说
PIC_DRUPES_22,Drupes,核果
PIC_PICNIC_23,Picnic,野餐
PIC_PASTRY_24,Pastry,糕点
PIC_WIND_25,Wind,管乐器
PIC_MALL_26,Mall,购物中心
PIC_STRINGS_27,Strings,弦乐
PIC_JEWELRY_28,Jewelry,珠宝
PIC_FLOWERS_29,Flowers,花卉
PIC_REPTILES_30,Reptiles,爬行动物
PIC_GEMSTONE_31,Gemstone,宝石
PIC_INSECTS_32,Insects,昆虫
PIC_RODENTS_33,Rodents,啮齿动物
PIC_WESTERN_34,Western,西部
PIC_PIRATE_35,Pirate,海盗
PIC_BEACH_36,Beach,海滩
PIC_EGYPT_37,Egypt,埃及
PIC_SPACE_38,Space,太空
PIC_SEA_FISH_39,Sea fish,海鱼
PIC_BIRTHDAY_40,Birthday,生日
PIC_CHARGER_41,Charger,充电器
PIC_TRANSPORT_42,Transport,交通
PIC_WHISKERS_43,Whiskers,胡须
PIC_BURGER_44,Burger,汉堡
PIC_DRINKS_45,Drinks,饮料
PIC_SHAPES_46,Shapes,形状
PIC_LUXURY_47,Luxury,奢华
PIC_TAROT_48,Tarot,塔罗
PIC_BABIES_49,Babies,婴儿
PIC_SAILOR_50,Sailor,水手
PIC_CANDY_51,Candy,糖果
PIC_KEYS_52,Keys,钥匙
PIC_LAWN_53,Lawn,草坪
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,吸血鬼
PIC_LANDMARK_56,Landmark,地标
PIC_DESERT_57,Desert,沙漠
PIC_TOYS_58,Toys,玩具
PIC_PURPLE_59,Purple,紫色
PIC_YELLOW_60,Yellow,黄色
PIC_RAIN_61,Rain,雨
PIC_GYM_62,Gym,健身房
PIC_PAIRS_63,Pairs,配对
PIC_CAMPING_64,Camping,露营
PIC_XMAS_65,Xmas,圣诞
PIC_MAIL_66,Mail,邮件
PIC_CHEF_67,Chef,厨师
PIC_SCREEN_68,Screen,屏幕
PIC_TOOLS_69,Tools,工具
PIC_SUPPLIES_70,Supplies,用品
PIC_UTENSILS_71,Utensils,器具
PIC_ARTS_72,Arts,艺术
PIC_SURVIVAL_73,Survival,生存
PIC_BAKING_74,Baking,烘焙
PIC_MEDICAL_75,Medical,医疗
PIC_ECO_ITEMS_76,Eco-items,环保物品
PIC_DECOR_77,Decor,装饰
PIC_AQUATICS_78,Water_Sports,水上运动
PIC_ICONS_79,Icons,图标
PIC_HALLOWEEN_80,Halloween,万圣节
