id,category_name_en,zh-TW
WORD_WILLIAM_165,William,莎士比亞
WORD_CANINES_168,Canines,犬類
WORD_STUDIES_169,Studies,名校
WORD_CITRUS_173,Citrus,柑橘
WORD_AIRCRAFT_174,Aircraft,飛行器
WORD_GRAPE_177,Grape,釀酒葡萄
WORD_MUSHROOM_178,Mushroom,蘑菇
WORD_ARCTIC_180,Arctic,北極
WORD_RACING_182,Racing,賽車
WORD_HELP_183,Help,幫助
WORD_GEMSTONE_186,Gemstone,寶石
WORD_PATTERN_188,Celestial,天體
WORD_FUELS_190,Fuels,燃料
WORD_ELECT_193,Elect,選舉
WORD_CROWN_194,Crown,王室頭銜
WORD_LEADER_196,Leader,美國總統
WORD_HOT_DOG_201,Hot dog,熱狗
WORD_CIPHER_208,Cipher,密碼
WORD_SYMPHONY_210,Symphony,交響樂
WORD_ARTWORKS_211,Artworks,藝術品
WORD_AUCTION_215,Auction,拍賣
WORD_BEANS_219,Beans,咖啡豆
WORD_CAMPING_221,Camping,露營
WORD_PLAY_223,Music,音樂
WORD_FINANCE_227,Finance,金融
WORD_MEDIEVAL_228,Medieval,中世紀
WORD_OPTICS_229,Optics,光學
WORD_NAVIGATE_230,Navigate,導航
WORD_TODDLER_231,Toddler,幼兒
WORD_FAMILIES_234,Families,動物家族
WORD_STARS_236,Stars,星星
WORD_AI_238,AI,人工智慧
WORD_DIVISION_242,Division,行政區劃
WORD_SPEAK_244,Speak,口語
WORD_HAIR_245,Hair,頭髮
WORD_INJURIES_249,Injuries,傷害
WORD_FLU_251,Flu,流感
WORD_MINERALS_253,Minerals,礦物
WORD_RADIATE_257,Radiate,輻射
WORD_HORMONES_259,Hormones,激素
WORD_EYE_260,Eye,眼睛
WORD_SHOVEL_261,Shovel,鏟子
WORD_ALLOY_264,Alloy,合金
WORD_FESTIVAL_270,Festival,節日
WORD_METAL_272,Metal,稀土金屬
WORD_ARTIFACT_276,Artifact,文物
WORD_DEFENSE_277,Defense,防禦
WORD_PARTICLE_281,Particle,粒子
WORD_NEW_YORK_287,New York,紐約
WORD_NO_BONES_289,No bones,無脊椎動物
WORD_LEGENDS_291,Legends,傳說
WORD_HELLO_295,Hello,你好
WORD_PHD_296,PhD,博士
WORD_OK_SIGN_301,OK,同意詞
WORD_JUSTICE_310,Justice,正義
WORD_PRISONER_312,Prisoner,囚犯
WORD_SPACE_314,Space,太空
WORD_WESTERN_317,Western,西部
WORD_LOCK_321,Lock,鎖
WORD_LEGS_322,Legs,腿
WORD_PYRAMIDS_330,Pyramids,埃及神祇
WORD_SHAFT_331,Shaft,礦井
WORD_FARMING_333,Farming,農業
WORD_SLIDING_339,Sliding,滑行運動
WORD_PAINTING_340,Painting,繪畫
WORD_RICE_342,Rice,米飯
WORD_HEART_344,Love,愛情
WORD_HIPPIE_349,Hippie,嬉皮士
WORD_ROBOT_354,Robot,機器人
WORD_GREECE_359,Greece,希臘字母
WORD_DYNAMICS_360,Dynamics,動力學
WORD_LAKES_365,Lakes,湖泊
WORD_NUCLEAR_366,Nuclear,原子粒子
WORD_ITALY_376,Italy,義大利城市
WORD_POINTING_379,Pointing,指示詞
WORD_SKIN_380,Skin,皮膚
WORD_BUILD_384,Build,公共建築
WORD_POLICIES_394,Politics,政治
WORD_STRENGTH_401,Strength,力量
WORD_MESSAGE_407,Message,訊息
WORD_VIEWS_410,Views,哲學觀點
WORD_ORGANS_412,Organs,器官
WORD_TAROT_417,Tarot,塔羅
WORD_VOICES_439,Voices,聲音
WORD_POETRY_440,Poetry,詩歌
WORD_MEALS_444,Meals,餐食
WORD_ALCHEMY_445,Alchemy,鍊金術
WORD_PAGANISM_469,Paganism,異教
WORD_PRESENT_470,Present,當下
WORD_SECRET_471,Secret,秘密
WORD_EQUIDAE_475,Equidae,馬科動物
WORD_LEATHER_480,Leather,皮革
WORD_CASTLE_485,Castle,城堡
WORD_DISPLAY_486,Display,顯示螢幕
WORD_CULTURES_487,Cultures,古代文明
WORD_WARRIORS_491,Warriors,日本武士
WORD_LIE_492,Lie,謊言
WORD_VIOLIN_508,Orchestra,管弦樂
WORD_ANAGRAM_511,Anagram,字謎
WORD_DRUM_518,Drum,鼓
WORD_WREATH_544,Winning,獲勝
WORD_ZEN_549,Zen,禪
WORD_NETWORK_588,Network,網路
WORD_CUSTOMS_592,Customs,海關
WORD_MORTGAGE_595,Mortgage,抵押貸款
WORD_CONCRETE_601,Concrete,建築施工
WORD_MEMES_620,Memes,迷因
WORD_ALKANES_641,Alkanes,烷烴
WORD_EVALUATE_651,Evaluate,評估
WORD_QUEST_680,Quest,探索
WORD_BEARDS_681,Beards,鬍鬚
WORD_YINYANG_721,Yinyang,陰陽
WORD_FOODIE_726,Foodie,美食家
WORD_OPERA_760,Opera,歌劇
WORD_HARBOR_764,Harbor,港口
WORD_STREET_768,Street,街道
WORD_CHIMERA_795,Chimera,奇美拉
WORD_CARRIAGE_800,Carriage,馬車
WORD_GAITS_810,Gaits,步態
WORD_EARTH_831,Earth,地球
WORD_VIOLINS_845,Violins,小提琴
WORD_GRAMMAR_861,Grammar,語法
WORD_COASTAL_882,Coastal,海岸
WORD_WHEEL_890,Wheel,車輪
WORD_INDUSTRY_921,Industry,工業
WORD_PREFIX_922,Prefix,前綴
WORD_BREEDS_940,Breeds,貓品種
WORD_LANDMARK_948,Landmark,地標
WORD_RIVERS_959,Rivers,河流
WORD_COAST_969,Coast,海岸線
WORD_SKINCARE_984,Skincare,護膚
WORD_DYNASTY_991,Dynasty,王朝
WORD_PRIEST_1019,Priest,神父
WORD_MAPS_1022,Maps,地圖
WORD_SINGING_1054,Singing,唱歌
WORD_GENETICS_1060,Genetics,遺傳學
WORD_SCREEN_1030,Screen,螢幕
WORD_ALARM_1031,Alarm,警報聲
WORD_LEAVES_1055,Leaves,葉子
WORD_DISHWARE_829,Dishware,餐具
WORD_POND_830,Pond,池塘
PIC_CHESS_1,Chess,象棋
PIC_SPORTS_2,Sports,運動
PIC_FURNITURE_3,Furniture,家具
PIC_DECK_4,Deck,撲克牌
PIC_ZODIAC_5,Zodiac,星座
PIC_TOOLBOX_6,Toolbox,工具箱
PIC_GARMENTS_7,Garments,服裝
PIC_VEGGIE_8,Veggie,蔬菜
PIC_FRUITS_9,Fruits,水果
PIC_CHAIR_10,Chair,椅子
PIC_HATS_11,Hats,帽子
PIC_PLAY_12,Music,音樂
PIC_CLEANING_13,Cleaning,清潔
PIC_SHOES_14,Shoes,鞋子
PIC_MAP_15,Map,國家
PIC_BIRD_16,Bird,鳥
PIC_SEAFOOD_17,Seafood,海鮮
PIC_DOGS_18,Dogs,狗
PIC_EATS_19,Eats,速食
PIC_BUILD_20,Build,公共建築
PIC_FOLKLORE_21,Folklore,民間傳說
PIC_DRUPES_22,Drupes,核果
PIC_PICNIC_23,Picnic,野餐
PIC_PASTRY_24,Pastry,糕點
PIC_WIND_25,Wind,管樂器
PIC_MALL_26,Mall,購物中心
PIC_STRINGS_27,Strings,弦樂
PIC_JEWELRY_28,Jewelry,珠寶
PIC_FLOWERS_29,Flowers,花卉
PIC_REPTILES_30,Reptiles,爬行動物
PIC_GEMSTONE_31,Gemstone,寶石
PIC_INSECTS_32,Insects,昆蟲
PIC_RODENTS_33,Rodents,囓齒動物
PIC_WESTERN_34,Western,西部
PIC_PIRATE_35,Pirate,海盜
PIC_BEACH_36,Beach,海灘
PIC_EGYPT_37,Egypt,埃及
PIC_SPACE_38,Space,太空
PIC_SEA_FISH_39,Sea fish,海魚
PIC_BIRTHDAY_40,Birthday,生日
PIC_CHARGER_41,Charger,充電器
PIC_TRANSPORT_42,Transport,交通
PIC_WHISKERS_43,Whiskers,鬍鬚
PIC_BURGER_44,Burger,漢堡
PIC_DRINKS_45,Drinks,飲料
PIC_SHAPES_46,Shapes,形狀
PIC_LUXURY_47,Luxury,奢華
PIC_TAROT_48,Tarot,塔羅
PIC_BABIES_49,Babies,嬰兒
PIC_SAILOR_50,Sailor,水手
PIC_CANDY_51,Candy,糖果
PIC_KEYS_52,Keys,鑰匙
PIC_LAWN_53,Lawn,草坪
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,吸血鬼
PIC_LANDMARK_56,Landmark,地標
PIC_DESERT_57,Desert,沙漠
PIC_TOYS_58,Toys,玩具
PIC_PURPLE_59,Purple,紫色
PIC_YELLOW_60,Yellow,黃色
PIC_RAIN_61,Rain,雨
PIC_GYM_62,Gym,健身房
PIC_PAIRS_63,Pairs,配對
PIC_CAMPING_64,Camping,露營
PIC_XMAS_65,Xmas,聖誕
PIC_MAIL_66,Mail,郵件
PIC_CHEF_67,Chef,廚師
PIC_SCREEN_68,Screen,螢幕
PIC_TOOLS_69,Tools,工具
PIC_SUPPLIES_70,Supplies,用品
PIC_UTENSILS_71,Utensils,器具
PIC_ARTS_72,Arts,藝術
PIC_SURVIVAL_73,Survival,生存
PIC_BAKING_74,Baking,烘焙
PIC_MEDICAL_75,Medical,醫療
PIC_ECO_ITEMS_76,Eco-items,環保物品
PIC_DECOR_77,Decor,裝飾
PIC_AQUATICS_78,Water_Sports,水上運動
PIC_ICONS_79,Icons,圖示
PIC_HALLOWEEN_80,Halloween,萬聖節
